Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BRAW_1,0.055,0.126,0.198,0.272,0.347,0.425,0.509,0.608,0.712,0.826,0.951,1.091,1.237,1.394,1.558,1.730,1.912,2.102,2.301,2.731,2.956,3.182,3.419,3.664,3.923,4.184,4.453,4.736,5.023,5.318,5.623
BRED_1,0.037,0.083,0.130,0.179,0.229,0.280,0.336,0.401,0.470,0.544,0.627,0.719,0.816,0.919,1.027,1.141,1.260,1.386,1.517,1.800,1.949,2.097,2.254,2.416,2.586,2.758,2.936,3.122,3.311,3.506,3.707
BRFO_1;CLT03,0.239,0.543,0.855,1.174,1.501,1.835,2.200,2.626,3.078,3.568,4.108,4.714,5.346,6.023,6.731,7.477,8.260,9.082,9.942,11.800,12.774,13.747,14.771,15.833,16.952,18.077,19.240,20.464,21.703,22.980,24.294
BRID_P,0.009,0.021,0.033,0.045,0.058,0.070,0.084,0.101,0.118,0.137,0.158,0.181,0.205,0.231,0.258,0.287,0.317,0.348,0.381,0.453,0.490,0.527,0.567,0.607,0.650,0.694,0.738,0.785,0.833,0.882,0.932
BRIM_1,0.023,0.051,0.081,0.111,0.142,0.173,0.207,0.248,0.290,0.336,0.387,0.444,0.504,0.568,0.635,0.705,0.779,0.856,0.937,1.113,1.204,1.296,1.393,1.493,1.598,1.704,1.814,1.929,2.046,2.167,2.291
BROA_P,0.002,0.005,0.008,0.010,0.013,0.016,0.020,0.023,0.027,0.032,0.036,0.042,0.047,0.053,0.060,0.066,0.073,0.081,0.088,0.105,0.113,0.122,0.131,0.141,0.151,0.161,0.171,0.182,0.193,0.204,0.216
BROR_P,0.002,0.004,0.006,0.008,0.010,0.013,0.015,0.018,0.021,0.025,0.028,0.033,0.037,0.042,0.047,0.052,0.057,0.063,0.069,0.082,0.088,0.095,0.102,0.110,0.117,0.125,0.133,0.142,0.150,0.159,0.168
BROX,0.004,0.010,0.016,0.021,0.027,0.034,0.040,0.048,0.056,0.065,0.075,0.086,0.098,0.110,0.123,0.137,0.151,0.166,0.182,0.216,0.233,0.251,0.270,0.289,0.310,0.330,0.352,0.374,0.397,0.420,0.444
BRWA1,0.103,0.233,0.367,0.504,0.644,0.788,0.945,1.127,1.322,1.532,1.764,2.024,2.295,2.586,2.890,3.210,3.547,3.899,4.268,5.066,5.484,5.902,6.342,6.798,7.278,7.761,8.261,8.786,9.318,9.866,10.431
BUMU_P,0.006,0.014,0.022,0.031,0.039,0.048,0.058,0.069,0.081,0.094,0.108,0.124,0.141,0.158,0.177,0.196,0.217,0.239,0.261,0.310,0.336,0.361,0.388,0.416,0.446,0.475,0.506,0.538,0.570,0.604,0.638
BURM_1,0.084,0.190,0.298,0.410,0.524,0.640,0.768,0.916,1.074,1.245,1.433,1.645,1.865,2.101,2.348,2.608,2.882,3.169,3.469,4.117,4.457,4.796,5.153,5.524,5.914,6.307,6.713,7.140,7.572,8.017,8.476
BUSH_1,0.037,0.083,0.131,0.179,0.229,0.280,0.336,0.401,0.470,0.545,0.627,0.720,0.817,0.920,1.028,1.142,1.262,1.387,1.519,1.803,1.951,2.100,2.256,2.419,2.589,2.761,2.939,3.126,3.315,3.510,3.711
BUST_1,0.027,0.061,0.095,0.131,0.167,0.204,0.245,0.293,0.343,0.398,0.458,0.525,0.596,0.671,0.750,0.833,0.920,1.012,1.108,1.315,1.423,1.532,1.646,1.764,1.889,2.014,2.144,2.280,2.418,2.560,2.707
CAAD_P,0.003,0.006,0.009,0.013,0.016,0.020,0.024,0.029,0.033,0.039,0.045,0.051,0.058,0.066,0.073,0.081,0.090,0.099,0.108,0.128,0.139,0.150,0.161,0.172,0.184,0.197,0.209,0.223,0.236,0.250,0.264
CANTN1;RICH1;RICH_J,0.076,0.174,0.273,0.375,0.480,0.586,0.702,0.839,0.983,1.139,1.311,1.505,1.707,1.923,2.149,2.387,2.638,2.900,3.175,3.767,4.079,4.389,4.716,5.055,5.413,5.771,6.143,6.533,6.929,7.336,7.757
CAPEA1,0.025,0.057,0.089,0.123,0.157,0.192,0.230,0.275,0.322,0.373,0.430,0.493,0.559,0.630,0.704,0.782,0.864,0.950,1.040,1.235,1.337,1.438,1.546,1.657,1.774,1.892,2.013,2.141,2.271,2.405,2.542
CARE_1,0.026,0.059,0.093,0.128,0.164,0.200,0.240,0.287,0.336,0.390,0.449,0.515,0.584,0.658,0.735,0.816,0.902,0.992,1.086,1.289,1.395,1.501,1.613,1.729,1.851,1.974,2.101,2.235,2.370,2.509,2.653
CARR_1,0.018,0.041,0.065,0.089,0.113,0.139,0.166,0.198,0.232,0.269,0.310,0.356,0.404,0.455,0.508,0.564,0.624,0.686,0.750,0.891,0.964,1.038,1.115,1.195,1.280,1.365,1.452,1.545,1.638,1.735,1.834
CATY,0.000,0.001,0.002,0.002,0.003,0.003,0.004,0.005,0.006,0.007,0.008,0.009,0.010,0.011,0.012,0.014,0.015,0.017,0.018,0.022,0.024,0.025,0.027,0.029,0.031,0.033,0.036,0.038,0.040,0.042,0.045
CELL_1,0.110,0.251,0.394,0.542,0.693,0.847,1.015,1.211,1.420,1.646,1.895,2.175,2.467,2.779,3.105,3.450,3.811,4.190,4.587,5.445,5.894,6.343,6.815,7.305,7.821,8.341,8.877,9.442,10.013,10.603,11.209
CHAP,0.009,0.021,0.032,0.045,0.057,0.070,0.084,0.100,0.117,0.136,0.156,0.179,0.203,0.229,0.256,0.284,0.314,0.345,0.378,0.448,0.485,0.522,0.561,0.602,0.644,0.687,0.731,0.778,0.825,0.873,0.923
CHAS,0.002,0.005,0.007,0.010,0.012,0.015,0.018,0.022,0.026,0.030,0.034,0.039,0.044,0.050,0.056,0.062,0.069,0.076,0.083,0.098,0.106,0.114,0.123,0.132,0.141,0.150,0.160,0.170,0.181,0.191,0.202
CHIC_1,0.027,0.062,0.097,0.134,0.171,0.209,0.251,0.299,0.351,0.407,0.468,0.537,0.609,0.687,0.767,0.852,0.942,1.035,1.133,1.345,1.456,1.567,1.684,1.805,1.932,2.061,2.193,2.333,2.474,2.619,2.769
CHSI_1,0.021,0.047,0.073,0.101,0.129,0.157,0.189,0.225,0.264,0.306,0.352,0.404,0.458,0.516,0.577,0.641,0.708,0.779,0.853,1.012,1.095,1.179,1.267,1.358,1.454,1.550,1.650,1.755,1.861,1.971,2.083
