Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CHAP,0.009,0.021,0.033,0.047,0.062,0.080,0.102,0.129,0.160,0.194,0.232,0.274,0.320,0.371,0.425,0.482,0.544,0.609,0.678,0.751,0.827,0.908,0.992,1.080,1.171,1.267,1.366,1.468,1.575,1.685,1.799
CHAS,0.002,0.005,0.007,0.010,0.014,0.018,0.022,0.028,0.035,0.043,0.051,0.060,0.070,0.081,0.093,0.106,0.119,0.133,0.149,0.164,0.181,0.199,0.217,0.236,0.257,0.277,0.299,0.322,0.345,0.369,0.394
CHIC_1,0.027,0.062,0.100,0.140,0.186,0.241,0.307,0.387,0.479,0.582,0.696,0.822,0.961,1.112,1.274,1.447,1.632,1.828,2.035,2.253,2.482,2.724,2.976,3.239,3.513,3.799,4.096,4.404,4.723,5.054,5.396
CHSI_1,0.021,0.047,0.075,0.106,0.140,0.182,0.231,0.291,0.361,0.438,0.523,0.618,0.723,0.836,0.958,1.088,1.228,1.375,1.531,1.695,1.867,2.049,2.239,2.437,2.643,2.858,3.081,3.313,3.553,3.802,4.059
CHTE_1,0.121,0.276,0.441,0.622,0.823,1.069,1.360,1.713,2.123,2.578,3.080,3.638,4.256,4.924,5.641,6.408,7.228,8.094,9.011,9.977,10.993,12.065,13.180,14.346,15.561,16.825,18.140,19.504,20.919,22.383,23.896
CITR_1,0.002,0.004,0.006,0.009,0.012,0.016,0.020,0.025,0.031,0.037,0.045,0.053,0.062,0.072,0.082,0.093,0.105,0.118,0.131,0.145,0.160,0.175,0.192,0.208,0.226,0.245,0.264,0.283,0.304,0.325,0.347
CLAY_P,0.002,0.005,0.008,0.011,0.015,0.019,0.025,0.031,0.038,0.047,0.056,0.066,0.077,0.089,0.102,0.116,0.131,0.146,0.163,0.180,0.199,0.218,0.238,0.259,0.281,0.304,0.328,0.352,0.378,0.404,0.432
COAT,0.008,0.018,0.028,0.040,0.053,0.068,0.087,0.109,0.135,0.165,0.197,0.232,0.272,0.314,0.360,0.409,0.461,0.517,0.575,0.637,0.702,0.770,0.841,0.915,0.993,1.074,1.158,1.245,1.335,1.428,1.525
COCK,0.009,0.021,0.034,0.047,0.063,0.082,0.104,0.131,0.162,0.197,0.235,0.278,0.325,0.376,0.430,0.489,0.552,0.618,0.688,0.761,0.839,0.921,1.006,1.095,1.187,1.284,1.384,1.488,1.596,1.708,1.824
CONQA1;SASA,0.052,0.119,0.191,0.269,0.356,0.463,0.589,0.741,0.918,1.115,1.333,1.574,1.841,2.130,2.440,2.772,3.127,3.502,3.898,4.316,4.756,5.219,5.702,6.206,6.732,7.279,7.848,8.438,9.050,9.683,10.338
COUA_P,0.009,0.019,0.031,0.044,0.058,0.075,0.096,0.121,0.150,0.182,0.217,0.256,0.300,0.347,0.398,0.452,0.509,0.571,0.635,0.703,0.775,0.850,0.929,1.011,1.097,1.186,1.279,1.375,1.475,1.578,1.685
COVE_1,0.075,0.172,0.275,0.388,0.513,0.666,0.848,1.067,1.323,1.607,1.920,2.268,2.652,3.068,3.515,3.993,4.504,5.044,5.616,6.218,6.851,7.519,8.214,8.940,9.698,10.486,11.305,12.155,13.037,13.949,14.893
COWL_1;ECLA_H,0.094,0.215,0.344,0.486,0.642,0.835,1.062,1.337,1.657,2.013,2.404,2.840,3.322,3.843,4.403,5.002,5.642,6.318,7.034,7.788,8.581,9.418,10.288,11.198,12.146,13.134,14.160,15.225,16.329,17.472,18.653
COYL,0.008,0.018,0.029,0.041,0.054,0.070,0.089,0.112,0.138,0.168,0.201,0.237,0.277,0.321,0.367,0.417,0.471,0.527,0.587,0.650,0.716,0.786,0.858,0.934,1.013,1.096,1.181,1.270,1.362,1.458,1.556
CRAI_P,0.001,0.001,0.002,0.003,0.004,0.005,0.006,0.008,0.010,0.012,0.014,0.017,0.020,0.023,0.026,0.030,0.034,0.038,0.042,0.047,0.052,0.057,0.062,0.067,0.073,0.079,0.085,0.092,0.098,0.105,0.112
CREB_1,0.109,0.248,0.398,0.561,0.741,0.963,1.226,1.543,1.913,2.323,2.775,3.279,3.835,4.436,5.083,5.774,6.513,7.293,8.119,8.990,9.905,10.871,11.876,12.926,14.021,15.161,16.345,17.575,18.849,20.168,21.532
CROO,0.004,0.008,0.012,0.018,0.024,0.030,0.038,0.050,0.060,0.074,0.088,0.104,0.122,0.142,0.162,0.184,0.208,0.232,0.258,0.286,0.314,0.346,0.378,0.412,0.446,0.482,0.520,0.558,0.600,0.642,0.684
CUMB,0.006,0.013,0.021,0.029,0.039,0.051,0.064,0.081,0.100,0.122,0.146,0.172,0.201,0.233,0.267,0.303,0.342,0.383,0.427,0.472,0.520,0.571,0.624,0.679,0.737,0.796,0.859,0.923,0.990,1.059,1.131
CUPA,0.015,0.034,0.054,0.076,0.100,0.130,0.166,0.209,0.259,0.314,0.376,0.444,0.519,0.601,0.688,0.782,0.882,0.987,1.099,1.217,1.341,1.472,1.608,1.750,1.898,2.052,2.213,2.379,2.551,2.730,2.915
CURR,0.000,0.000,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.003,0.004,0.005,0.006,0.006,0.007,0.008,0.009,0.010,0.012,0.013,0.014,0.016,0.017,0.019,0.020,0.022,0.023,0.025,0.027,0.029,0.031
DALM3,0.005,0.011,0.017,0.024,0.032,0.041,0.052,0.066,0.081,0.099,0.118,0.140,0.163,0.189,0.217,0.246,0.277,0.311,0.346,0.383,0.422,0.463,0.506,0.551,0.597,0.646,0.696,0.749,0.803,0.859,0.917
DEVM,0.003,0.006,0.010,0.013,0.018,0.023,0.029,0.037,0.046,0.056,0.066,0.078,0.092,0.106,0.122,0.138,0.156,0.174,0.194,0.215,0.237,0.260,0.284,0.309,0.335,0.363,0.391,0.420,0.451,0.482,0.515
DEVO,0.008,0.018,0.028,0.040,0.053,0.069,0.087,0.110,0.136,0.166,0.198,0.234,0.274,0.317,0.363,0.412,0.465,0.520,0.579,0.642,0.707,0.776,0.848,0.922,1.001,1.082,1.166,1.254,1.345,1.439,1.537
DEWP,0.001,0.002,0.003,0.004,0.005,0.007,0.009,0.011,0.013,0.016,0.019,0.023,0.027,0.031,0.036,0.040,0.046,0.051,0.057,0.063,0.069,0.076,0.083,0.090,0.098,0.106,0.114,0.123,0.132,0.141,0.151
DOUN_P,0.003,0.006,0.009,0.013,0.018,0.023,0.029,0.037,0.045,0.055,0.066,0.078,0.091,0.105,0.121,0.137,0.155,0.173,0.193,0.213,0.235,0.258,0.282,0.307,0.333,0.360,0.388,0.417,0.447,0.479,0.511
