Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CANTN1;RICH1;RICH_J,403.991,400.538,394.410,389.646,387.064,384.957,384.280,385.311,387.386,389.822,392.725,396.698,401.339,408.925,416.982,425.233,434.159,443.109,452.740,460.393,466.777,471.998,478.801,489.381,495.659,498.229,502.540,508.690,513.516,515.371,514.986,516.517
CAPEA1,342.169,338.998,333.854,329.592,327.099,324.943,323.860,324.059,325.045,326.283,327.818,330.191,333.374,338.066,343.003,348.000,353.554,359.145,365.359,370.188,374.224,377.621,382.450,390.404,395.155,397.255,400.669,405.516,409.371,410.863,410.659,411.932
CARE_1,129.246,128.428,126.829,125.644,125.094,124.687,124.704,125.241,126.123,127.182,128.453,130.181,132.128,135.330,138.816,142.482,146.276,150.139,154.143,157.417,160.129,162.359,164.861,168.306,170.428,171.307,172.687,174.489,175.895,176.488,176.330,176.681
CARR_1,304.637,301.117,295.888,291.589,289.245,287.458,286.971,288.034,290.138,292.738,295.913,300.038,305.718,311.839,318.336,324.988,332.173,339.360,347.062,353.198,358.318,362.467,367.849,376.183,381.101,383.057,386.401,391.224,394.990,396.421,396.099,397.302
CASS_P,1.344,1.334,1.325,1.317,1.316,1.319,1.329,1.347,1.372,1.405,1.446,1.499,1.573,1.641,1.720,1.805,1.888,1.974,2.058,2.131,2.190,2.239,2.282,2.325,2.355,2.367,2.384,2.399,2.409,2.417,2.413,2.411
CATY,17.291,17.106,16.917,16.790,16.838,16.982,17.276,17.754,18.402,19.213,20.202,21.399,22.968,24.482,26.170,27.990,29.781,31.613,33.407,34.933,36.193,37.197,38.075,38.960,39.531,39.721,40.006,40.300,40.506,40.623,40.539,40.519
CEAN_P,1.471,1.456,1.434,1.412,1.400,1.388,1.382,1.380,1.380,1.381,1.383,1.388,1.397,1.407,1.418,1.428,1.441,1.456,1.472,1.484,1.494,1.502,1.516,1.549,1.567,1.576,1.590,1.610,1.627,1.632,1.632,1.638
CELL_1,700.352,693.069,681.167,671.618,666.173,661.712,659.926,661.318,664.645,668.578,673.287,679.659,687.831,699.179,711.019,722.912,736.188,749.357,763.877,775.203,784.691,792.403,803.455,821.724,832.362,836.656,844.125,855.226,863.946,867.159,866.562,869.562
CHAP,45.547,45.145,44.557,44.037,43.738,43.485,43.361,43.393,43.543,43.755,44.034,44.469,45.128,45.830,46.595,47.396,48.242,49.115,50.052,50.800,51.419,51.955,52.612,53.594,54.210,54.504,54.939,55.499,55.945,56.139,56.110,56.232
CHAR_P,20.551,20.290,19.897,19.594,19.447,19.356,19.382,19.546,19.806,20.121,20.500,20.959,21.565,22.193,22.868,23.567,24.302,25.038,25.800,26.422,26.939,27.347,27.831,28.526,28.933,29.077,29.335,29.712,29.999,30.107,30.070,30.155
