Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BRAP,0.000,0.000,0.082,0.225,0.441,0.722,1.073,1.478,1.903,2.344,2.808,3.256,3.648,3.944,4.128,4.201,4.184,4.139,4.100,4.093,4.117,4.009,4.031,4.043,4.043,4.034,4.013,3.978,3.929,3.859,3.738,3.603
BRAW_1,2.499,4.182,5.975,8.127,10.663,13.438,16.820,21.021,26.205,32.282,38.671,44.846,50.237,54.317,56.849,57.854,57.627,57.008,56.475,56.377,56.697,55.217,55.520,55.679,55.685,55.564,55.273,54.789,54.110,53.148,51.485,49.627
BRED_1,2.049,3.429,4.729,6.195,7.824,9.513,11.556,14.156,17.522,21.585,25.857,29.986,33.591,36.319,38.012,38.683,38.532,38.118,37.761,37.697,37.910,36.921,37.123,37.230,37.234,37.152,36.958,36.635,36.180,35.537,34.425,33.183
BRFO_1;CLT03,4.823,8.071,11.333,15.137,19.507,24.178,29.853,36.976,45.949,56.604,67.806,78.633,88.087,95.240,99.680,101.442,101.044,99.959,99.024,98.853,99.414,96.819,97.350,97.629,97.640,97.427,96.916,96.068,94.877,93.190,90.274,87.018
BRID_P,0.200,0.340,0.499,0.703,0.955,1.240,1.590,2.017,2.528,3.114,3.730,4.325,4.845,5.239,5.483,5.580,5.558,5.499,5.447,5.438,5.469,5.326,5.355,5.370,5.371,5.359,5.331,5.285,5.219,5.126,4.966,4.787
BRIM_1,3.015,5.044,6.326,7.375,8.101,8.410,8.707,9.394,11.064,13.630,16.328,18.935,21.211,22.934,24.003,24.427,24.331,24.070,23.845,23.804,23.939,23.314,23.442,23.509,23.512,23.460,23.337,23.133,22.846,22.440,21.738,20.954
BROA_P,0.000,0.000,0.045,0.123,0.241,0.394,0.585,0.807,1.038,1.279,1.532,1.777,1.990,2.152,2.252,2.292,2.283,2.259,2.237,2.234,2.246,2.188,2.200,2.206,2.206,2.201,2.190,2.171,2.144,2.106,2.040,1.966
BROR_P,0.000,0.000,0.019,0.053,0.104,0.171,0.254,0.350,0.451,0.555,0.665,0.771,0.864,0.934,0.977,0.995,0.991,0.980,0.971,0.969,0.975,0.949,0.955,0.957,0.957,0.955,0.950,0.942,0.930,0.914,0.885,0.853
BROX,0.000,0.000,0.087,0.239,0.469,0.769,1.142,1.574,2.026,2.495,2.989,3.467,3.883,4.199,4.394,4.472,4.455,4.407,4.365,4.358,4.383,4.268,4.292,4.304,4.304,4.295,4.273,4.235,4.183,4.108,3.980,3.836
BRWA1,0.000,0.000,0.825,2.273,4.457,7.302,10.844,14.947,19.238,23.699,28.389,32.922,36.880,39.875,41.734,42.472,42.305,41.851,41.459,41.388,41.623,40.536,40.758,40.876,40.880,40.791,40.577,40.222,39.723,39.017,37.796,36.433
BUMU_P,0.260,0.430,0.706,1.086,1.587,2.184,2.920,3.802,4.805,5.920,7.091,8.224,9.213,9.961,10.425,10.609,10.568,10.454,10.356,10.339,10.397,10.126,10.181,10.210,10.212,10.189,10.136,10.047,9.923,9.746,9.441,9.101
BURM_1,2.273,3.803,5.403,7.305,9.528,11.944,14.886,18.552,23.104,28.461,34.094,39.538,44.292,47.888,50.121,51.006,50.807,50.261,49.791,49.705,49.987,48.682,48.949,49.090,49.095,48.988,48.731,48.305,47.706,46.857,45.391,43.754
BUSH_1,0.000,0.000,0.595,1.640,3.216,5.270,7.826,10.786,13.883,17.102,20.487,23.758,26.615,28.776,30.117,30.650,30.530,30.202,29.919,29.868,30.037,29.253,29.413,29.498,29.501,29.437,29.282,29.026,28.666,28.156,27.276,26.291
BUST_1,0.798,1.336,2.347,3.804,5.776,8.175,11.139,14.663,18.600,22.914,27.448,31.831,35.658,38.554,40.351,41.064,40.903,40.464,40.086,40.016,40.244,39.193,39.408,39.521,39.525,39.439,39.232,38.889,38.407,37.724,36.544,35.225
CAAD_P,0.000,0.000,0.049,0.134,0.263,0.431,0.640,0.882,1.136,1.399,1.676,1.943,2.177,2.354,2.463,2.507,2.497,2.470,2.447,2.443,2.457,2.393,2.406,2.413,2.413,2.408,2.395,2.374,2.345,2.303,2.231,2.151
CAMB_01,0.091,0.152,0.306,0.540,0.867,1.275,1.779,2.374,3.024,3.726,4.463,5.176,5.798,6.269,6.561,6.677,6.651,6.579,6.518,6.507,6.544,6.373,6.408,6.426,6.427,6.413,6.379,6.323,6.245,6.134,5.942,5.728
