Primary,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BROX,0.000,0.068,0.142,0.221,0.304,0.394,0.712,0.777,0.874,0.999,1.153,1.887,2.110,2.373,2.680,3.021,4.479,4.972,5.456,5.918,6.341,7.481,7.962,8.362,8.693,8.956,10.405,10.637,10.828,10.981,11.106
BRWA1,0.000,0.736,1.531,2.377,3.280,4.244,4.534,4.950,5.564,6.358,7.344,7.932,8.870,9.977,11.265,12.702,12.430,13.799,15.140,16.423,17.597,18.796,20.003,21.009,21.841,22.501,22.412,22.912,23.324,23.652,23.922
BUMU_P,0.000,0.052,0.109,0.169,0.233,0.301,0.559,0.610,0.686,0.784,0.905,1.507,1.685,1.896,2.140,2.413,3.622,4.021,4.412,4.786,5.128,6.064,6.454,6.778,7.047,7.259,8.466,8.655,8.810,8.935,9.036
BURM_1,0.000,0.771,1.604,2.491,3.437,4.446,4.658,5.085,5.715,6.532,7.545,8.123,9.084,10.217,11.536,13.007,12.751,14.155,15.531,16.848,18.051,19.281,20.520,21.552,22.406,23.083,22.997,23.509,23.932,24.270,24.546
BUSH_1,0.000,0.722,1.502,2.332,3.218,4.163,4.551,4.969,5.585,6.383,7.373,8.019,8.968,10.087,11.389,12.841,12.664,14.059,15.426,16.733,17.929,19.294,20.534,21.567,22.421,23.098,23.018,23.531,23.954,24.291,24.568
BUST_1,0.000,0.739,1.536,2.385,3.292,4.258,4.528,4.944,5.556,6.350,7.335,7.880,8.811,9.911,11.190,12.617,12.387,13.752,15.088,16.367,17.536,18.797,20.005,21.011,21.843,22.503,22.421,22.921,23.333,23.662,23.931
CAAD_P,0.000,0.036,0.074,0.115,0.159,0.206,0.307,0.335,0.377,0.431,0.498,0.725,0.811,0.912,1.030,1.161,1.599,1.775,1.947,2.113,2.263,2.611,2.779,2.919,3.035,3.126,3.608,3.688,3.755,3.807,3.851
CAMB_01,0.000,0.339,0.705,1.094,1.510,1.954,2.025,2.211,2.485,2.839,3.280,3.557,3.978,4.474,5.052,5.696,5.408,6.003,6.587,7.145,7.655,8.199,8.726,9.164,9.527,9.815,9.630,9.844,10.021,10.162,10.278
CANTN1;RICH1;RICH_J,0.000,1.412,2.936,4.560,6.292,8.140,8.766,9.571,10.757,12.293,14.199,15.380,17.198,19.344,21.842,24.627,24.161,26.822,29.429,31.923,34.204,36.622,38.976,40.936,42.556,43.842,43.688,44.660,45.464,46.104,46.629
CAPEA1,0.000,0.520,1.081,1.678,2.316,2.996,3.067,3.349,3.764,4.302,4.969,5.379,6.015,6.766,7.639,8.614,8.254,9.163,10.054,10.906,11.685,12.551,13.357,14.029,14.584,15.025,14.804,15.133,15.405,15.622,15.801
