Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BRAP,0.000,0.000,0.037,0.080,0.150,0.246,0.372,0.532,0.728,0.964,1.241,1.559,1.960,2.311,2.703,3.128,3.589,4.094,4.613,5.120,5.608,5.977,6.271,6.553,6.783,6.962,7.067,7.033,7.132,7.226,7.309,7.386
BRAW_1,2.115,3.106,4.128,5.433,6.736,8.255,9.988,11.983,14.252,16.869,19.887,23.358,26.996,31.826,37.220,43.079,49.424,56.388,63.531,70.521,77.243,82.323,86.365,90.251,93.424,95.883,97.336,96.860,98.220,99.515,100.658,101.728
BRED_1,1.734,2.547,3.308,4.288,5.211,6.256,7.415,8.717,10.169,11.823,13.719,15.903,18.051,21.280,24.887,28.805,33.047,37.704,42.480,47.153,51.648,55.045,57.748,60.346,62.467,64.112,65.083,64.765,65.674,66.540,67.304,68.020
BRFO_1;CLT03,4.081,5.994,7.876,10.291,12.635,15.332,18.371,21.833,25.735,30.212,35.362,41.288,47.335,55.804,65.262,75.536,86.661,98.872,111.397,123.652,135.438,144.347,151.434,158.249,163.811,168.123,170.670,169.837,172.220,174.491,176.495,178.372
BRID_P,0.170,0.250,0.340,0.455,0.575,0.718,0.885,1.081,1.307,1.569,1.873,2.223,2.604,3.070,3.590,4.155,4.767,5.439,6.128,6.802,7.450,7.940,8.330,8.705,9.011,9.248,9.388,9.342,9.473,9.598,9.709,9.812
BRIM_1,2.550,3.746,4.580,5.690,6.505,7.300,8.033,8.714,9.334,9.940,10.583,11.339,11.398,13.437,15.715,18.189,20.868,23.808,26.824,29.775,32.613,34.758,36.465,38.106,39.446,40.484,41.097,40.897,41.470,42.017,42.500,42.952
BROA_P,0.000,0.000,0.020,0.044,0.082,0.134,0.203,0.290,0.397,0.526,0.677,0.851,1.070,1.261,1.475,1.707,1.958,2.234,2.517,2.794,3.060,3.261,3.422,3.576,3.701,3.799,3.856,3.837,3.891,3.943,3.988,4.030
BROR_P,0.000,0.000,0.009,0.019,0.036,0.058,0.088,0.126,0.172,0.228,0.294,0.369,0.464,0.547,0.640,0.741,0.850,0.969,1.092,1.212,1.328,1.415,1.485,1.552,1.606,1.649,1.673,1.665,1.689,1.711,1.731,1.749
BROX,0.000,0.000,0.039,0.085,0.160,0.262,0.396,0.566,0.775,1.026,1.322,1.660,2.087,2.460,2.877,3.330,3.820,4.359,4.911,5.451,5.971,6.363,6.676,6.976,7.222,7.412,7.524,7.487,7.592,7.692,7.781,7.863
BRWA1,0.000,0.000,0.374,0.809,1.517,2.488,3.759,5.374,7.357,9.745,12.552,15.764,19.818,23.364,27.324,31.625,36.283,41.396,46.640,51.771,56.705,60.435,63.403,66.256,68.585,70.390,71.456,71.107,72.105,73.056,73.895,74.681
BUMU_P,0.220,0.320,0.466,0.648,0.860,1.123,1.441,1.823,2.274,2.805,3.423,4.132,4.951,5.836,6.825,7.900,9.063,10.341,11.650,12.932,14.165,15.096,15.838,16.550,17.132,17.583,17.849,17.762,18.012,18.249,18.459,18.655
BURM_1,1.923,2.824,3.740,4.910,6.068,7.413,8.941,10.694,12.682,14.972,17.611,20.645,23.801,28.059,32.815,37.980,43.574,49.714,56.012,62.174,68.100,72.580,76.144,79.570,82.367,84.535,85.816,85.397,86.595,87.737,88.745,89.688
BUSH_1,0.000,0.000,0.270,0.584,1.095,1.796,2.713,3.878,5.309,7.032,9.058,11.376,14.302,16.861,19.718,22.822,26.184,29.873,33.657,37.360,40.921,43.613,45.754,47.813,49.494,50.797,51.566,51.315,52.035,52.721,53.326,53.893
BUST_1,0.675,0.992,1.517,2.165,2.958,3.959,5.189,6.685,8.464,10.570,13.027,15.843,19.162,22.590,26.419,30.577,35.081,40.024,45.094,50.055,54.826,58.433,61.302,64.060,66.312,68.057,69.088,68.751,69.716,70.635,71.446,72.206
CAAD_P,0.000,0.000,0.022,0.048,0.090,0.147,0.222,0.317,0.434,0.575,0.741,0.931,1.170,1.379,1.613,1.867,2.142,2.444,2.753,3.056,3.347,3.567,3.742,3.911,4.048,4.155,4.218,4.197,4.256,4.312,4.362,4.408
CAMB_01,0.077,0.113,0.190,0.284,0.408,0.567,0.767,1.014,1.310,1.662,2.074,2.547,3.116,3.673,4.296,4.972,5.704,6.508,7.332,8.139,8.915,9.501,9.968,10.416,10.782,11.066,11.234,11.179,11.336,11.485,11.617,11.741
CANTN1;RICH1;RICH_J,2.198,3.229,4.185,5.419,6.572,7.875,9.314,10.929,12.724,14.765,17.105,19.799,22.429,26.441,30.924,35.791,41.062,46.848,52.783,58.590,64.175,68.396,71.755,74.983,77.619,79.662,80.868,80.474,81.603,82.679,83.629,84.518
CAPEA1,0.910,1.337,1.806,2.402,3.019,3.749,4.595,5.581,6.714,8.029,9.549,11.296,13.182,15.540,18.174,21.035,24.133,27.534,31.022,34.435,37.717,40.198,42.171,44.069,45.618,46.819,47.528,47.296,47.960,48.592,49.150,49.673
CARE_1,1.078,1.583,2.045,2.641,3.193,3.813,4.495,5.256,6.098,7.053,8.147,9.407,10.619,12.519,14.641,16.946,19.442,22.181,24.991,27.741,30.385,32.383,33.973,35.502,36.750,37.718,38.289,38.102,38.637,39.146,39.596,40.017
CARR_1,0.000,0.000,0.340,0.736,1.381,2.265,3.422,4.892,6.697,8.871,11.427,14.351,18.042,21.270,24.875,28.790,33.031,37.685,42.459,47.130,51.622,55.018,57.719,60.316,62.437,64.080,65.051,64.733,65.642,66.507,67.271,67.987
CASS_P,0.000,0.000,0.005,0.011,0.020,0.033,0.050,0.072,0.098,0.130,0.167,0.210,0.264,0.311,0.364,0.422,0.484,0.552,0.622,0.690,0.756,0.806,0.845,0.883,0.914,0.938,0.953,0.948,0.961,0.974,0.985,0.995
CATY,0.000,0.000,0.105,0.227,0.425,0.698,1.054,1.507,2.063,2.732,3.519,4.420,5.556,6.550,7.661,8.866,10.172,11.606,13.076,14.515,15.898,16.944,17.776,18.576,19.228,19.735,20.034,19.936,20.216,20.482,20.717,20.938
CEAN_P,0.000,0.000,0.001,0.001,0.002,0.003,0.004,0.006,0.008,0.011,0.014,0.018,0.023,0.027,0.031,0.036,0.041,0.047,0.053,0.059,0.065,0.069,0.072,0.076,0.078,0.080,0.082,0.081,0.082,0.083,0.084,0.085
CELL_1,1.818,2.670,3.689,4.976,6.363,8.035,10.005,12.329,15.029,18.180,21.835,26.031,30.690,36.181,42.313,48.974,56.187,64.104,72.225,80.171,87.812,93.588,98.184,102.602,106.208,109.004,110.655,110.115,111.660,113.133,114.432,115.649
CHAP,0.000,0.000,0.044,0.094,0.176,0.289,0.437,0.624,0.854,1.132,1.458,1.831,2.302,2.714,3.174,3.674,4.215,4.809,5.418,6.014,6.587,7.020,7.365,7.696,7.967,8.177,8.300,8.260,8.376,8.486,8.584,8.675
CHAR_P,0.000,0.000,0.037,0.079,0.148,0.243,0.367,0.525,0.719,0.953,1.227,1.541,1.938,2.284,2.671,3.092,3.547,4.047,4.560,5.061,5.544,5.908,6.199,6.478,6.705,6.882,6.986,6.952,7.049,7.142,7.224,7.301
CHAS,2.180,3.210,3.740,4.479,4.832,5.040,5.050,4.847,4.413,3.770,2.955,2.039,0.117,0.139,0.162,0.187,0.215,0.245,0.276,0.307,0.336,0.358,0.376,0.393,0.406,0.417,0.423,0.421,0.427,0.433,0.438,0.442
CHIC_1,0.012,0.018,0.170,0.348,0.633,1.023,1.532,2.177,2.968,3.921,5.039,6.320,7.932,9.351,10.936,12.657,14.521,16.568,18.667,20.720,22.695,24.188,25.375,26.517,27.449,28.172,28.599,28.459,28.858,29.239,29.575,29.889
CHSI_1,2.045,3.004,4.056,5.393,6.774,8.409,10.302,12.507,15.040,17.979,21.377,25.283,29.494,34.771,40.665,47.066,53.998,61.606,69.411,77.047,84.391,89.941,94.358,98.603,102.070,104.756,106.343,105.824,107.309,108.724,109.973,111.143
CHTE_1,0.000,0.000,0.722,1.563,2.931,4.808,7.263,10.384,14.216,18.830,24.255,30.462,38.296,45.148,52.800,61.112,70.112,79.992,90.126,100.040,109.576,116.783,122.518,128.031,132.531,136.020,138.080,137.406,139.334,141.172,142.793,144.312
CITR_1,0.474,0.696,0.957,1.287,1.639,2.062,2.558,3.142,3.818,4.607,5.522,6.572,7.731,9.114,10.658,12.336,14.153,16.147,18.193,20.194,22.119,23.574,24.731,25.844,26.753,27.457,27.873,27.737,28.126,28.497,28.824,29.131
CLAY_P,0.240,0.360,0.449,0.568,0.666,0.770,0.876,0.987,1.102,1.228,1.369,1.533,1.653,1.949,2.279,2.638,3.026,3.453,3.890,4.318,4.730,5.041,5.288,5.526,5.721,5.871,5.960,5.931,6.014,6.094,6.164,6.229
CLYM,0.000,0.000,0.077,0.167,0.313,0.513,0.776,1.109,1.518,2.011,2.590,3.253,4.090,4.822,5.639,6.526,7.488,8.543,9.625,10.684,11.702,12.472,13.084,13.673,14.154,14.526,14.746,14.674,14.880,15.077,15.250,15.412
