Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
B_EXTRA_52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B_EXTRA_53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B_EXTRA_54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B_EXTRA_55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B_EXTRA_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B_EXTRA_57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B_EXTRA_58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B_EXTRA_59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B_EXTRA_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,0.054,0.067,0.079,0.093,0.106,0.118,0.13,0.141,0.151,0.158,,,,
B_EXTRA_60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B_EXTRA_61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B_EXTRA_62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B_EXTRA_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
B_EXTRA_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.011,0.012,0.011,0.013,0.017,0.02,0.023,0.027,0.03,0.032,0.035,0.038,0.04,,,,
B_EXTRA_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.023,0.022,0.027,0.033,0.04,0.046,0.053,0.059,0.065,0.07,0.075,0.079,,,,
BAGA,41.307,40.846,39.999,39.633,40.293,41.234,42.274,43.392,44.918,46.291,47.618,48.918,50.472,51.898,53.761,55.117,56.235,57.164,57.978,58.725,59.758,60.596,61.48,62.346,63.183,63.959,65.468,66.551,67.409,68.126,69.43,70.114,,,,
BAIN,26.359,26.751,26.533,26.481,26.85,27.254,27.626,28.108,29.182,30.401,31.599,32.761,34.075,35.267,36.746,37.813,38.685,39.396,40.012,40.579,41.352,41.979,42.628,43.247,43.842,44.384,45.448,46.2,46.783,47.252,48.133,48.568,,,,
BARKC1,147.547,146.048,142.535,140.593,142.281,144.722,147.204,149.845,154.225,158.121,161.771,165.273,169.708,173.818,179.965,184.404,188.133,191.288,194.052,196.522,200.102,202.829,205.657,208.47,211.189,213.7,219.142,222.945,225.883,228.253,232.961,235.301,,,,
BARKW3,202.733,200.745,195.286,191.548,192.432,193.849,194.859,195.789,199.162,201.874,204.115,206.173,209.565,212.858,219.507,224.296,228.452,232.113,235.342,238.128,242.452,245.517,248.646,251.888,255.024,257.944,265.042,269.914,273.604,276.535,282.785,285.801,,,,
BEAU_P,28.439,28.095,27.396,27.02,27.377,27.895,28.434,28.998,29.871,30.626,31.331,32.01,32.867,33.663,34.856,35.719,36.442,37.056,37.593,38.072,38.768,39.298,39.846,40.394,40.919,41.405,42.462,43.199,43.768,44.225,45.137,45.587,,,,
BEDD_1,469.708,464.404,451.914,445.791,453.486,464.306,475.388,487.281,505.951,522.805,538.806,553.914,571.888,588.417,612.533,629.832,644.236,656.285,666.713,675.951,689.368,699.336,709.337,719.122,728.517,737.013,756.668,770.118,780.11,787.751,804.167,811.713,,,,
BEDDT1,120.646,120.511,118.222,117.242,119.12,121.59,124.079,126.919,131.845,136.782,141.567,146.159,151.46,156.292,162.71,167.333,171.138,174.278,176.998,179.455,182.906,185.591,188.339,190.994,193.55,195.872,200.781,204.209,206.815,208.875,212.982,214.966,,,,
BERB_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
BERW,26.169,25.958,25.532,25.267,25.416,25.655,25.924,26.205,26.648,27.029,27.384,27.762,28.311,28.824,29.532,30.061,30.505,30.89,31.236,31.566,32.015,32.406,32.851,33.303,33.745,34.174,34.903,35.453,35.926,36.359,37.049,37.465,,,,
BESW_1,323.655,319.983,312.469,308.446,312.393,318.137,324.175,330.565,340.401,349.033,357.177,365.06,374.982,384.165,397.513,407.178,415.275,422.113,428.108,433.506,441.252,447.257,453.537,459.78,465.819,471.417,483.148,491.424,497.881,503.169,513.373,518.556,,,,
BICF_1,199.606,197.059,191.863,188.885,191.089,194.35,197.647,201.062,206.692,211.454,215.844,220.023,225.473,230.565,238.625,244.439,249.351,253.543,257.216,260.466,265.259,268.837,272.519,276.21,279.774,283.066,290.459,295.592,299.514,302.65,309.05,312.175,,,,
BIRK_1,254.337,250.76,243.674,240.023,243.928,249.554,255.353,261.457,270.782,278.858,286.446,293.601,302.341,310.421,322.631,331.394,338.73,344.911,350.277,355.015,361.956,367.088,372.252,377.348,382.246,386.699,397.046,404.137,409.426,413.5,422.223,426.272,,,,
BISW_1,433.784,428.961,418.44,413.451,420.438,430.312,440.701,451.867,468.598,483.716,498.167,511.995,528.481,543.611,564.859,580.162,592.871,603.477,612.693,620.958,632.767,641.808,651.059,660.113,668.831,676.79,694.07,706.087,715.233,722.462,737.081,744.135,,,,
BLYTB1,181.574,179.425,174.149,171.202,173.572,176.949,180.202,183.619,189.704,195.029,199.945,204.505,210.202,215.503,224.103,230.255,235.441,239.845,243.661,246.982,251.959,255.518,259.036,262.532,265.884,268.914,276.439,281.523,285.237,288.024,294.335,297.148,,,,
BLYTH132,68.503,67.88,66.204,65.208,65.858,66.793,67.692,68.641,70.45,72.059,73.537,74.943,76.786,78.506,81.245,83.222,84.891,86.317,87.567,88.672,90.303,91.52,92.77,94.027,95.239,96.358,98.879,100.628,101.966,103.033,105.216,106.282,,,,
BOAG_P,19.98,19.774,19.338,19.065,19.207,19.423,19.645,19.87,20.27,20.6,20.9,21.195,21.623,22.027,22.666,23.135,23.534,23.878,24.183,24.461,24.863,25.179,25.518,25.862,26.197,26.515,27.159,27.621,27.991,28.305,28.886,29.197,,,,
