Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
JORD_3,0.034,0.041,0.050,0.060,0.072,0.084,0.096,0.114,0.135,0.157,0.196,0.222,0.253,0.287,0.339,0.397,0.467,0.546,0.636,0.738,0.855,0.988,1.140,1.313,1.510,1.726,1.962,2.219,2.499,2.802,3.136,3.617
KAIM,0.052,0.063,0.076,0.091,0.108,0.127,0.146,0.173,0.204,0.238,0.297,0.337,0.383,0.435,0.513,0.602,0.707,0.828,0.964,1.119,1.296,1.498,1.727,1.990,2.289,2.617,2.975,3.364,3.787,4.247,4.753,5.482
KEAD_1,0.165,0.203,0.247,0.295,0.351,0.412,0.472,0.561,0.662,0.769,0.963,1.091,1.240,1.410,1.662,1.949,2.290,2.681,3.123,3.625,4.198,4.852,5.594,6.445,7.413,8.475,9.633,10.895,12.265,13.753,15.393,17.754
KEAR_1;KEAR_3,0.410,0.507,0.614,0.735,0.874,1.025,1.175,1.396,1.647,1.914,2.397,2.716,3.087,3.508,4.136,4.851,5.700,6.671,7.772,9.021,10.448,12.075,13.921,16.040,18.447,21.090,23.973,27.112,30.523,34.226,38.306,44.183
KEMS_1,0.176,0.218,0.264,0.316,0.376,0.441,0.505,0.600,0.708,0.822,1.030,1.167,1.327,1.508,1.777,2.084,2.449,2.867,3.340,3.876,4.490,5.189,5.982,6.893,7.927,9.063,10.302,11.650,13.116,14.707,16.460,18.986
KIBY_1,0.139,0.171,0.207,0.248,0.295,0.346,0.397,0.472,0.556,0.647,0.810,0.918,1.043,1.185,1.398,1.639,1.926,2.254,2.626,3.048,3.530,4.080,4.704,5.420,6.233,7.126,8.100,9.161,10.313,11.564,12.943,14.928
KIER,0.042,0.051,0.062,0.074,0.088,0.103,0.119,0.141,0.166,0.193,0.242,0.274,0.312,0.354,0.417,0.490,0.575,0.673,0.784,0.910,1.054,1.219,1.405,1.619,1.862,2.129,2.420,2.736,3.081,3.454,3.866,4.459
KIIN_P,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.004,0.005,0.005,0.007,0.008,0.009,0.010,0.012,0.014,0.016,0.019,0.022,0.026,0.030,0.034,0.040,0.046,0.052,0.060,0.068,0.077,0.087,0.097,0.109,0.125
KILB,0.019,0.023,0.027,0.033,0.040,0.046,0.052,0.062,0.074,0.085,0.108,0.122,0.138,0.157,0.185,0.217,0.255,0.298,0.348,0.403,0.467,0.540,0.623,0.718,0.825,0.943,1.072,1.213,1.365,1.530,1.712,1.976
KILS,0.021,0.026,0.031,0.037,0.044,0.052,0.060,0.071,0.083,0.097,0.121,0.138,0.156,0.178,0.210,0.246,0.289,0.338,0.394,0.457,0.529,0.612,0.705,0.812,0.934,1.068,1.214,1.373,1.546,1.734,1.940,2.238
KILT,0.028,0.033,0.040,0.047,0.056,0.066,0.076,0.090,0.106,0.123,0.154,0.175,0.199,0.226,0.267,0.313,0.367,0.430,0.501,0.581,0.673,0.778,0.897,1.034,1.189,1.359,1.545,1.747,1.967,2.206,2.469,2.848
KILW,0.031,0.038,0.046,0.055,0.066,0.077,0.088,0.105,0.124,0.144,0.180,0.204,0.232,0.264,0.311,0.365,0.428,0.501,0.584,0.678,0.785,0.907,1.046,1.205,1.386,1.585,1.802,2.037,2.294,2.572,2.879,3.320
KINL_P,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.003,0.004,0.005,0.006,0.007,0.007,0.009,0.010,0.012,0.014,0.016,0.019,0.022,0.025,0.029,0.034,0.039,0.045,0.051,0.058,0.066,0.074,0.083,0.093,0.107
KINO_1,0.167,0.207,0.250,0.300,0.357,0.418,0.479,0.570,0.672,0.781,0.978,1.108,1.259,1.431,1.687,1.979,2.325,2.722,3.171,3.680,4.262,4.926,5.680,6.544,7.526,8.604,9.780,11.061,12.453,13.963,15.628,18.025
KIRKB1,0.113,0.140,0.169,0.203,0.241,0.283,0.324,0.385,0.454,0.528,0.661,0.749,0.852,0.968,1.141,1.339,1.573,1.841,2.145,2.489,2.883,3.332,3.842,4.426,5.091,5.820,6.615,7.482,8.423,9.445,10.570,12.192
KITW_1,0.269,0.333,0.403,0.483,0.575,0.674,0.772,0.918,1.082,1.258,1.575,1.785,2.029,2.307,2.719,3.189,3.747,4.385,5.109,5.930,6.868,7.938,9.152,10.545,12.127,13.865,15.760,17.823,20.066,22.500,25.182,29.046
KNAR,0.084,0.104,0.126,0.150,0.179,0.210,0.240,0.286,0.337,0.392,0.490,0.556,0.632,0.718,0.846,0.992,1.166,1.365,1.590,1.846,2.137,2.470,2.848,3.281,3.774,4.315,4.904,5.547,6.244,7.002,7.836,9.039
LACK_6,0.178,0.220,0.266,0.319,0.379,0.445,0.510,0.606,0.714,0.830,1.039,1.178,1.339,1.522,1.794,2.104,2.472,2.893,3.371,3.912,4.531,5.237,6.038,6.956,8.001,9.147,10.397,11.758,13.238,14.844,16.613,19.162
