Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BUSH_1,154.111,154.015,155.057,155.662,156.741,158.031,159.040,159.208,159.898,161.091,162.677,164.844,168.250,171.497,175.008,178.815,182.804,187.217,191.668,196.000,200.150,204.276,207.794,211.274,214.260,216.787,218.663,219.598,221.370,223.021,224.475,225.936
BUST_1,305.695,305.405,307.443,308.603,310.514,312.722,314.068,313.246,313.293,314.166,315.617,318.097,322.603,327.698,333.117,338.964,345.029,351.753,358.480,365.016,371.267,378.285,384.453,390.602,395.998,400.687,404.405,406.950,410.505,413.801,416.745,419.676
CAAD_P,19.362,19.408,19.530,19.601,19.714,19.840,19.934,19.949,20.007,20.103,20.232,20.406,20.677,20.935,21.216,21.521,21.835,22.185,22.537,22.878,23.206,23.535,23.814,24.091,24.323,24.519,24.662,24.726,24.855,24.976,25.077,25.187
CAMB_01,34.118,34.174,34.423,34.586,34.837,35.122,35.348,35.408,35.565,35.815,36.144,36.587,37.239,37.921,38.661,39.463,40.303,41.234,42.176,43.091,43.967,44.815,45.533,46.240,46.843,47.349,47.714,47.871,48.214,48.533,48.810,49.093
CANTN1;RICH1;RICH_J,403.940,405.141,408.123,410.174,412.812,415.610,417.358,416.715,416.847,417.675,419.014,421.346,424.995,430.492,436.399,442.792,449.379,456.714,464.057,471.178,477.989,485.374,491.759,498.121,503.604,508.316,511.916,514.089,517.460,520.589,523.308,526.124
CAPEA1,342.147,342.959,345.159,346.486,348.366,350.346,351.489,350.758,350.635,351.023,351.771,353.236,355.846,359.288,362.963,366.945,370.976,375.491,379.981,384.318,388.459,393.295,397.508,401.731,405.375,408.536,410.994,412.632,414.904,417.010,418.809,420.736
CARE_1,129.237,129.913,131.026,131.899,132.927,134.012,134.812,134.948,135.333,135.951,136.763,137.919,139.390,141.677,144.174,146.882,149.710,152.846,156.012,159.091,162.038,164.887,167.285,169.653,171.654,173.328,174.526,175.009,176.118,177.154,178.043,178.967
CARR_1,304.632,304.650,306.524,307.522,309.293,311.322,312.694,312.361,312.835,314.044,315.801,318.444,322.968,327.403,332.165,337.316,342.639,348.559,354.487,360.241,365.744,371.691,376.836,381.961,386.388,390.191,393.107,394.876,397.617,400.162,402.384,404.667
CASS_P,1.344,1.349,1.361,1.370,1.385,1.404,1.422,1.441,1.465,1.495,1.530,1.572,1.626,1.675,1.729,1.787,1.850,1.918,1.990,2.058,2.124,2.178,2.220,2.262,2.293,2.321,2.337,2.335,2.349,2.364,2.374,2.386
CATY,17.291,17.307,17.500,17.660,17.921,18.258,18.628,18.988,19.477,20.097,20.841,21.728,22.905,23.959,25.129,26.397,27.756,29.252,30.780,32.272,33.703,34.881,35.837,36.767,37.535,38.153,38.551,38.558,38.929,39.279,39.586,39.887
CEAN_P,1.471,1.474,1.482,1.486,1.491,1.498,1.500,1.495,1.492,1.492,1.491,1.495,1.502,1.510,1.519,1.528,1.537,1.548,1.558,1.567,1.578,1.593,1.605,1.618,1.629,1.640,1.649,1.655,1.663,1.672,1.676,1.683
CELL_1,700.307,701.104,705.634,708.292,712.255,716.563,719.012,717.126,716.714,717.608,719.405,722.946,729.567,737.897,746.746,756.310,766.075,776.972,787.816,798.320,808.350,820.106,830.432,840.776,849.797,857.663,863.890,868.253,874.111,879.541,884.288,889.189
CHAP,45.547,45.681,45.959,46.121,46.372,46.645,46.843,46.860,46.968,47.151,47.400,47.741,48.270,48.776,49.327,49.928,50.542,51.228,51.915,52.581,53.217,53.872,54.426,54.974,55.434,55.823,56.100,56.223,56.472,56.705,56.898,57.111
CHAR_P,20.551,20.524,20.663,20.745,20.887,21.062,21.197,21.208,21.292,21.449,21.659,21.950,22.422,22.874,23.361,23.890,24.442,25.056,25.671,26.271,26.847,27.428,27.930,28.427,28.853,29.218,29.491,29.642,29.905,30.147,30.363,30.578
CHAS,62.828,64.245,65.094,66.015,66.598,67.000,67.112,66.852,66.389,65.709,64.857,63.919,61.963,61.974,61.987,62.009,61.989,61.983,61.965,61.936,61.904,61.975,62.022,62.075,62.095,62.113,62.106,62.092,62.054,62.017,61.951,61.945
CHIC_1,103.943,104.146,104.826,105.239,105.911,106.671,107.284,107.472,107.930,108.634,109.543,110.744,112.533,114.225,116.072,118.077,120.166,122.488,124.829,127.102,129.279,131.383,133.145,134.888,136.351,137.574,138.441,138.771,139.565,140.307,140.939,141.603
CHSI_1,266.043,266.956,269.334,271.184,273.539,276.174,278.244,278.837,280.176,282.253,284.939,288.596,293.562,299.931,306.870,314.386,322.302,331.058,339.911,348.534,356.799,364.644,371.263,377.783,383.329,387.963,391.309,392.676,395.822,398.761,401.340,403.927
CHTE_1,536.453,536.871,540.307,542.267,545.619,549.478,552.373,552.640,554.374,557.452,561.600,567.345,576.427,585.122,594.541,604.751,615.363,627.150,639.009,650.528,661.555,672.723,682.236,691.665,699.711,706.520,711.551,714.059,718.744,723.110,726.885,730.792
CITR_1,694.174,697.846,701.717,703.922,706.882,709.585,711.111,710.394,710.219,710.250,710.482,711.187,712.322,713.949,715.765,717.798,719.489,721.548,723.499,725.294,726.964,729.563,731.646,733.809,735.425,736.788,737.615,737.898,738.332,738.734,738.732,739.327
CLAY_P,26.928,27.204,27.432,27.629,27.828,28.018,28.166,28.239,28.330,28.433,28.553,28.705,28.817,29.114,29.446,29.811,30.186,30.606,31.029,31.440,31.833,32.175,32.445,32.708,32.916,33.079,33.172,33.145,33.219,33.288,33.334,33.401
CLYM,66.290,66.422,66.837,67.081,67.473,67.911,68.238,68.272,68.463,68.794,69.238,69.848,70.805,71.721,72.713,73.792,74.908,76.148,77.395,78.602,79.760,80.939,81.940,82.930,83.770,84.479,84.997,85.242,85.720,86.162,86.539,86.940
COAT,54.641,54.742,55.078,55.274,55.590,55.942,56.198,56.201,56.334,56.577,56.911,57.381,58.131,58.857,59.640,60.490,61.366,62.343,63.323,64.272,65.182,66.128,66.932,67.732,68.410,68.989,69.414,69.631,70.026,70.389,70.700,71.031
COCK,42.023,42.081,42.360,42.528,42.805,43.127,43.383,43.451,43.639,43.936,44.327,44.846,45.638,46.387,47.202,48.087,49.009,50.032,51.063,52.067,53.029,53.971,54.765,55.551,56.218,56.777,57.183,57.359,57.734,58.086,58.388,58.703
