Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CLAY_P,11.722,11.706,11.661,11.594,11.519,11.439,11.348,11.250,11.151,11.056,10.953,10.863,10.814,10.767,10.726,10.681,10.627,10.584,10.544,10.499,10.448,10.410,10.393,10.379,10.365,10.346,10.327,10.301,10.273,10.239,10.195,10.155
CLYM,22.583,22.551,22.464,22.336,22.192,22.037,21.861,21.673,21.482,21.299,21.100,20.927,20.833,20.743,20.663,20.576,20.472,20.389,20.313,20.227,20.128,20.055,20.021,19.995,19.967,19.931,19.894,19.845,19.791,19.725,19.640,19.563
COAT,18.388,18.362,18.291,18.187,18.069,17.944,17.800,17.647,17.492,17.343,17.180,17.040,16.963,16.889,16.825,16.754,16.670,16.602,16.539,16.469,16.389,16.330,16.302,16.281,16.258,16.229,16.199,16.159,16.115,16.061,15.991,15.929
COCK,13.607,13.588,13.535,13.458,13.371,13.278,13.172,13.059,12.944,12.834,12.714,12.610,12.553,12.498,12.451,12.398,12.336,12.285,12.239,12.187,12.128,12.084,12.063,12.048,12.031,12.009,11.987,11.957,11.925,11.885,11.834,11.788
CONQA1;SASA,90.967,90.838,90.487,89.972,89.391,88.770,88.061,87.303,86.533,85.798,84.994,84.298,83.920,83.555,83.236,82.882,82.466,82.131,81.823,81.476,81.079,80.786,80.646,80.544,80.430,80.287,80.138,79.940,79.722,79.454,79.112,78.805
COUA_P,8.236,8.224,8.193,8.146,8.093,8.037,7.973,7.904,7.835,7.768,7.695,7.632,7.598,7.565,7.536,7.504,7.466,7.436,7.408,7.377,7.341,7.314,7.302,7.292,7.282,7.269,7.256,7.238,7.218,7.194,7.163,7.135
COVE_1,149.532,149.321,148.743,147.897,146.942,145.921,144.756,143.509,142.244,141.035,139.713,138.571,137.948,137.348,136.823,136.242,135.559,135.007,134.501,133.931,133.277,132.795,132.567,132.398,132.211,131.976,131.731,131.404,131.046,130.608,130.044,129.540
COWL_1;ECLA_H,168.375,168.138,167.487,166.534,165.459,164.309,162.997,161.593,160.169,158.808,157.319,156.033,155.332,154.656,154.065,153.411,152.641,152.020,151.450,150.809,150.072,149.529,149.273,149.082,148.871,148.607,148.331,147.963,147.560,147.066,146.432,145.864
COYL,11.948,11.931,11.885,11.817,11.741,11.659,11.566,11.466,11.365,11.269,11.163,11.072,11.022,10.974,10.932,10.886,10.831,10.787,10.747,10.701,10.649,10.610,10.592,10.579,10.564,10.545,10.525,10.499,10.471,10.436,10.391,10.350
CRAI_P,6.063,6.054,6.031,5.996,5.958,5.916,5.869,5.818,5.767,5.718,5.664,5.618,5.593,5.569,5.547,5.524,5.496,5.474,5.453,5.430,5.403,5.384,5.375,5.368,5.360,5.351,5.341,5.328,5.313,5.295,5.272,5.252
CREB_1,150.300,150.088,149.507,148.656,147.697,146.671,145.499,144.246,142.975,141.759,140.430,139.282,138.657,138.053,137.526,136.942,136.255,135.700,135.191,134.619,133.961,133.477,133.248,133.077,132.890,132.654,132.408,132.079,131.719,131.278,130.712,130.205
CROO,10.774,10.758,10.717,10.656,10.587,10.514,10.430,10.340,10.249,10.161,10.067,9.984,9.939,9.896,9.859,9.816,9.768,9.727,9.691,9.650,9.603,9.567,9.552,9.540,9.526,9.509,9.491,9.468,9.442,9.411,9.370,9.334
CUMB,17.188,17.164,17.097,17.000,16.891,16.773,16.639,16.496,16.350,16.211,16.060,15.928,15.857,15.788,15.727,15.661,15.582,15.519,15.460,15.395,15.320,15.264,15.238,15.219,15.197,15.170,15.142,15.104,15.063,15.013,14.948,14.890
CUPA,16.664,16.641,16.576,16.482,16.376,16.262,16.132,15.993,15.852,15.717,15.570,15.443,15.373,15.306,15.248,15.183,15.107,15.046,14.989,14.926,14.853,14.799,14.774,14.755,14.734,14.708,14.681,14.644,14.604,14.555,14.493,14.436
CURR,2.922,2.918,2.906,2.890,2.871,2.851,2.828,2.804,2.779,2.756,2.730,2.708,2.695,2.684,2.673,2.662,2.649,2.638,2.628,2.617,2.604,2.595,2.590,2.587,2.583,2.579,2.574,2.568,2.561,2.552,2.541,2.531
DALM3,9.135,9.122,9.087,9.035,8.977,8.914,8.843,8.767,8.690,8.616,8.535,8.465,8.427,8.391,8.359,8.323,8.281,8.248,8.217,8.182,8.142,8.113,8.099,8.088,8.077,8.063,8.048,8.028,8.006,7.979,7.945,7.914
DEVM,9.617,9.603,9.566,9.512,9.450,9.385,9.310,9.229,9.148,9.070,8.985,8.912,8.872,8.833,8.799,8.762,8.718,8.683,8.650,8.613,8.571,8.540,8.526,8.515,8.503,8.488,8.472,8.451,8.428,8.400,8.363,8.331
DEVO,16.681,16.657,16.593,16.498,16.392,16.278,16.148,16.009,15.868,15.733,15.585,15.458,15.388,15.321,15.263,15.198,15.122,15.060,15.004,14.940,14.867,14.814,14.788,14.769,14.748,14.722,14.695,14.658,14.619,14.570,14.507,14.450
DEWP,23.090,23.057,22.968,22.838,22.690,22.532,22.352,22.160,21.965,21.778,21.574,21.397,21.301,21.209,21.128,21.038,20.932,20.847,20.769,20.681,20.580,20.506,20.470,20.444,20.415,20.379,20.341,20.291,20.236,20.168,20.081,20.003
DOUN_P,2.109,2.106,2.098,2.086,2.072,2.058,2.042,2.024,2.006,1.989,1.970,1.954,1.946,1.937,1.930,1.921,1.912,1.904,1.897,1.889,1.880,1.873,1.870,1.867,1.865,1.861,1.858,1.853,1.848,1.842,1.834,1.827
DRAK_1,69.901,69.803,69.533,69.137,68.691,68.213,67.669,67.086,66.495,65.929,65.311,64.777,64.486,64.206,63.960,63.689,63.369,63.111,62.875,62.609,62.303,62.077,61.971,61.892,61.804,61.695,61.580,61.427,61.260,61.055,60.791,60.556
DRAX_1,36.619,36.568,36.426,36.219,35.985,35.735,35.450,35.144,34.835,34.538,34.215,33.935,33.782,33.635,33.507,33.365,33.197,33.062,32.938,32.799,32.639,32.521,32.465,32.423,32.377,32.320,32.260,32.180,32.092,31.985,31.847,31.723
DRCR,5.768,5.760,5.737,5.705,5.668,5.628,5.583,5.535,5.487,5.440,5.389,5.345,5.321,5.298,5.277,5.255,5.229,5.207,5.188,5.166,5.141,5.122,5.113,5.107,5.100,5.090,5.081,5.068,5.055,5.038,5.016,4.997
DRUM,13.596,13.577,13.524,13.447,13.361,13.268,13.162,13.048,12.933,12.823,12.703,12.599,12.543,12.488,12.440,12.388,12.326,12.275,12.229,12.178,12.118,12.074,12.053,12.038,12.021,12.000,11.977,11.948,11.915,11.875,11.824,11.778
DUBE_P,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
DUDH_P,16.294,16.271,16.208,16.115,16.011,15.900,15.773,15.637,15.499,15.368,15.224,15.099,15.031,14.966,14.909,14.845,14.771,14.711,14.656,14.594,14.522,14.470,14.445,14.427,14.406,14.381,14.354,14.318,14.279,14.232,14.170,14.115
DUGR_P,1.594,1.592,1.586,1.577,1.567,1.556,1.543,1.530,1.517,1.504,1.490,1.478,1.471,1.464,1.459,1.453,1.445,1.440,1.434,1.428,1.421,1.416,1.414,1.412,1.410,1.407,1.405,1.401,1.397,1.393,1.387,1.381
DUMF,17.415,17.390,17.322,17.224,17.113,16.994,16.858,16.713,16.565,16.425,16.271,16.137,16.065,15.996,15.934,15.867,15.788,15.723,15.664,15.597,15.521,15.465,15.439,15.419,15.397,15.370,15.341,15.303,15.261,15.210,15.144,15.086
DUNB,7.166,7.156,7.129,7.088,7.042,6.993,6.938,6.878,6.817,6.759,6.696,6.641,6.611,6.583,6.557,6.530,6.497,6.470,6.446,6.419,6.387,6.364,6.353,6.345,6.336,6.325,6.313,6.298,6.281,6.260,6.233,6.208
DUNF,9.063,9.051,9.016,8.964,8.906,8.845,8.774,8.698,8.622,8.548,8.468,8.399,8.361,8.325,8.293,8.258,8.216,8.183,8.152,8.118,8.078,8.049,8.035,8.025,8.014,7.999,7.984,7.965,7.943,7.916,7.882,7.852
DUNO_P,4.092,4.086,4.070,4.047,4.021,3.993,3.961,3.927,3.893,3.859,3.823,3.792,3.775,3.759,3.744,3.728,3.710,3.694,3.681,3.665,3.647,3.634,3.628,3.623,3.618,3.612,3.605,3.596,3.586,3.574,3.559,3.545
DYCE_P,10.945,10.930,10.887,10.825,10.755,10.681,10.595,10.504,10.412,10.323,10.226,10.143,10.097,10.053,10.015,9.972,9.922,9.882,9.845,9.803,9.755,9.720,9.703,9.691,9.677,9.660,9.642,9.618,9.592,9.560,9.519,9.482
EALI_6,67.708,67.613,67.351,66.968,66.536,66.073,65.546,64.981,64.408,63.861,63.262,62.745,62.463,62.191,61.954,61.691,61.381,61.131,60.902,60.644,60.348,60.130,60.027,59.950,59.865,59.759,59.648,59.500,59.338,59.139,58.884,58.656
EASO_1,94.526,94.393,94.028,93.493,92.889,92.244,91.507,90.719,89.919,89.155,88.319,87.597,87.204,86.824,86.493,86.125,85.693,85.344,85.024,84.664,84.251,83.946,83.802,83.695,83.577,83.428,83.274,83.067,82.841,82.563,82.207,81.888
ECCL,7.723,7.712,7.682,7.638,7.589,7.536,7.476,7.412,7.346,7.284,7.216,7.157,7.125,7.094,7.066,7.036,7.001,6.973,6.947,6.917,6.883,6.858,6.847,6.838,6.828,6.816,6.804,6.787,6.768,6.745,6.716,6.690
ECLA_1,112.038,111.880,111.447,110.813,110.098,109.333,108.460,107.525,106.578,105.672,104.681,103.825,103.359,102.909,102.516,102.081,101.569,101.155,100.776,100.349,99.859,99.498,99.327,99.200,99.060,98.884,98.701,98.456,98.188,97.859,97.437,97.059
EERH,21.679,21.648,21.565,21.442,21.304,21.155,20.987,20.806,20.622,20.447,20.255,20.090,20.000,19.913,19.836,19.752,19.653,19.573,19.500,19.417,19.322,19.252,19.219,19.195,19.168,19.134,19.098,19.051,18.999,18.935,18.854,18.781
EKIL,13.110,13.092,13.041,12.967,12.883,12.794,12.692,12.582,12.471,12.365,12.249,12.149,12.095,12.042,11.996,11.945,11.885,11.837,11.792,11.743,11.685,11.643,11.623,11.608,11.592,11.571,11.550,11.521,11.490,11.451,11.402,11.357
