Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BRFO_1;CLT03,210.976,212.113,212.567,212.432,213.006,213.113,213.085,212.782,212.424,211.993,211.488,210.994,210.125,209.204,208.302,207.316,206.144,205.008,203.819,202.595,201.337,200.040,198.736,197.408,196.056,194.679,193.285,191.877,190.441,189.024,187.578,186.590
BRID_P,7.812,7.861,7.878,7.875,7.896,7.900,7.899,7.888,7.875,7.859,7.840,7.822,7.790,7.756,7.723,7.687,7.643,7.602,7.558,7.513,7.467,7.419,7.371,7.322,7.272,7.222,7.170,7.119,7.066,7.013,6.960,6.924
BRIM_1,86.185,86.649,86.834,86.779,87.014,87.058,87.046,86.922,86.776,86.600,86.394,86.192,85.837,85.461,85.092,84.690,84.211,83.747,83.261,82.761,82.247,81.717,81.185,80.642,80.089,79.527,78.957,78.382,77.796,77.217,76.626,76.223
BROA_P,3.632,3.654,3.662,3.661,3.671,3.673,3.672,3.667,3.661,3.654,3.645,3.636,3.622,3.606,3.590,3.573,3.553,3.534,3.514,3.493,3.471,3.449,3.427,3.404,3.381,3.357,3.333,3.309,3.285,3.260,3.236,3.219
BROR_P,2.383,2.397,2.403,2.402,2.408,2.409,2.409,2.406,2.402,2.397,2.391,2.386,2.376,2.366,2.355,2.344,2.331,2.319,2.305,2.291,2.277,2.263,2.248,2.233,2.218,2.203,2.187,2.171,2.155,2.139,2.123,2.112
BROX,15.234,15.328,15.362,15.357,15.398,15.405,15.403,15.382,15.356,15.325,15.289,15.253,15.191,15.125,15.060,14.989,14.905,14.824,14.738,14.650,14.561,14.467,14.374,14.278,14.181,14.082,13.982,13.881,13.779,13.676,13.573,13.502
BRWA1,60.121,60.444,60.574,60.536,60.699,60.730,60.722,60.635,60.533,60.410,60.266,60.126,59.878,59.616,59.359,59.078,58.744,58.420,58.081,57.732,57.374,57.004,56.633,56.254,55.869,55.476,55.079,54.678,54.269,53.865,53.453,53.171
BUMU_P,14.121,14.208,14.239,14.234,14.272,14.280,14.278,14.257,14.234,14.205,14.172,14.138,14.081,14.020,13.959,13.894,13.816,13.741,13.661,13.579,13.496,13.410,13.323,13.235,13.145,13.053,12.961,12.867,12.772,12.677,12.581,12.516
BURM_1,139.477,140.228,140.528,140.439,140.818,140.890,140.871,140.671,140.434,140.148,139.815,139.489,138.914,138.305,137.709,137.057,136.283,135.531,134.745,133.936,133.104,132.247,131.385,130.507,129.613,128.702,127.781,126.850,125.901,124.964,124.008,123.355
BUSH_1,41.057,41.278,41.366,41.340,41.452,41.473,41.467,41.408,41.338,41.255,41.156,41.060,40.891,40.712,40.536,40.345,40.117,39.895,39.664,39.426,39.181,38.929,38.675,38.416,38.153,37.885,37.614,37.340,37.061,36.785,36.503,36.311
BUST_1,70.692,71.073,71.225,71.180,71.372,71.408,71.398,71.297,71.177,71.032,70.863,70.698,70.407,70.098,69.796,69.465,69.073,68.692,68.294,67.884,67.462,67.027,66.591,66.145,65.692,65.231,64.764,64.292,63.811,63.336,62.852,62.521
CAAD_P,6.505,6.545,6.560,6.557,6.575,6.578,6.577,6.568,6.557,6.544,6.529,6.513,6.487,6.459,6.431,6.401,6.365,6.330,6.293,6.256,6.218,6.178,6.138,6.097,6.055,6.013,5.971,5.928,5.884,5.840,5.796,5.766
CAMB_01,10.058,10.112,10.134,10.127,10.155,10.160,10.158,10.144,10.127,10.106,10.082,10.059,10.017,9.973,9.930,9.883,9.827,9.773,9.717,9.658,9.598,9.536,9.474,9.411,9.346,9.281,9.214,9.147,9.079,9.011,8.942,8.895
CANTN1;RICH1;RICH_J,117.480,118.114,118.366,118.291,118.610,118.670,118.654,118.486,118.287,118.046,117.766,117.491,117.007,116.493,115.992,115.443,114.790,114.157,113.495,112.813,112.113,111.390,110.664,109.925,109.171,108.405,107.628,106.844,106.046,105.256,104.451,103.901
CAPEA1,105.916,106.486,106.714,106.647,106.934,106.989,106.974,106.822,106.642,106.426,106.172,105.925,105.488,105.026,104.573,104.078,103.490,102.919,102.323,101.708,101.077,100.425,99.771,99.104,98.425,97.734,97.034,96.327,95.606,94.895,94.169,93.673
CARE_1,40.404,40.622,40.709,40.683,40.793,40.813,40.808,40.750,40.681,40.599,40.502,40.408,40.241,40.065,39.892,39.703,39.479,39.261,39.033,38.799,38.558,38.310,38.060,37.806,37.547,37.283,37.016,36.746,36.471,36.200,35.923,35.734
CARR_1,86.318,86.782,86.968,86.913,87.148,87.192,87.180,87.056,86.909,86.733,86.527,86.325,85.969,85.592,85.223,84.820,84.340,83.876,83.389,82.888,82.374,81.843,81.310,80.766,80.213,79.649,79.079,78.503,77.916,77.336,76.744,76.340
CASS_P,0.529,0.532,0.533,0.533,0.534,0.535,0.535,0.534,0.533,0.532,0.531,0.529,0.527,0.525,0.523,0.520,0.517,0.514,0.512,0.508,0.505,0.502,0.499,0.496,0.492,0.489,0.485,0.482,0.478,0.475,0.471,0.469
CATY,5.216,5.248,5.259,5.258,5.272,5.274,5.274,5.266,5.257,5.247,5.234,5.222,5.201,5.178,5.156,5.132,5.103,5.075,5.046,5.016,4.985,4.953,4.921,4.888,4.855,4.821,4.787,4.753,4.717,4.682,4.647,4.623
CEAN_P,0.465,0.468,0.469,0.469,0.470,0.470,0.470,0.470,0.469,0.468,0.467,0.466,0.464,0.462,0.460,0.458,0.455,0.453,0.450,0.447,0.445,0.442,0.439,0.436,0.433,0.430,0.427,0.424,0.421,0.418,0.414,0.412
CELL_1,195.535,196.588,197.008,196.884,197.415,197.515,197.489,197.208,196.876,196.476,196.009,195.551,194.746,193.892,193.056,192.142,191.056,190.003,188.901,187.767,186.601,185.399,184.190,182.959,181.706,180.429,179.137,177.833,176.502,175.188,173.849,172.933
CHAP,15.968,16.067,16.102,16.096,16.139,16.147,16.145,16.122,16.096,16.063,16.026,15.988,15.923,15.854,15.785,15.712,15.623,15.538,15.448,15.356,15.262,15.164,15.066,14.966,14.864,14.761,14.656,14.550,14.442,14.335,14.227,14.153
CHAR_P,5.059,5.090,5.101,5.100,5.113,5.116,5.115,5.108,5.099,5.089,5.077,5.065,5.045,5.023,5.001,4.978,4.950,4.923,4.894,4.865,4.835,4.804,4.773,4.742,4.709,4.677,4.643,4.610,4.576,4.542,4.507,4.484
CHAS,26.448,26.611,26.669,26.660,26.732,26.745,26.741,26.704,26.659,26.606,26.543,26.480,26.372,26.258,26.145,26.023,25.876,25.735,25.587,25.434,25.278,25.116,24.954,24.788,24.619,24.448,24.274,24.099,23.921,23.743,23.563,23.441
CHIC_1,34.234,34.419,34.492,34.471,34.564,34.581,34.576,34.527,34.469,34.399,34.317,34.237,34.096,33.947,33.800,33.640,33.450,33.266,33.073,32.874,32.670,32.460,32.248,32.033,31.813,31.590,31.364,31.135,30.902,30.672,30.438,30.277
CHSI_1,73.266,73.660,73.818,73.771,73.970,74.008,73.998,73.893,73.768,73.619,73.443,73.272,72.970,72.650,72.337,71.995,71.588,71.193,70.780,70.355,69.918,69.468,69.015,68.554,68.084,67.606,67.122,66.633,66.135,65.642,65.140,64.797
CHTE_1,161.742,162.613,162.961,162.858,163.297,163.380,163.358,163.126,162.851,162.521,162.134,161.756,161.090,160.383,159.692,158.936,158.038,157.166,156.255,155.317,154.352,153.358,152.358,151.340,150.303,149.247,148.178,147.099,145.999,144.912,143.804,143.046
CITR_1,282.358,283.878,284.485,284.305,285.073,285.217,285.179,284.774,284.294,283.717,283.042,282.381,281.218,279.985,278.778,277.458,275.890,274.369,272.778,271.140,269.456,267.721,265.976,264.198,262.388,260.545,258.679,256.795,254.874,252.976,251.042,249.720
CLAY_P,11.256,11.325,11.350,11.346,11.377,11.382,11.381,11.365,11.346,11.323,11.296,11.270,11.224,11.175,11.127,11.075,11.012,10.953,10.889,10.824,10.758,10.689,10.620,10.549,10.478,10.405,10.331,10.256,10.180,10.105,10.028,9.976
