Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
MYBS_P,0.005,0.005,0.005,0.005,0.006,0.006,0.007,0.008,0.008,0.009,0.011,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.021,0.022,0.023,0.025,0.027,0.028,0.030,0.031,0.033,0.034,0.036,0.039
NAIR_P,0.014,0.014,0.015,0.016,0.017,0.019,0.020,0.023,0.025,0.027,0.031,0.033,0.035,0.038,0.040,0.043,0.046,0.049,0.053,0.056,0.060,0.064,0.069,0.073,0.078,0.083,0.087,0.092,0.096,0.101,0.106,0.114
NEAR,0.047,0.049,0.052,0.055,0.059,0.065,0.070,0.077,0.085,0.093,0.107,0.114,0.121,0.129,0.138,0.148,0.158,0.169,0.181,0.193,0.207,0.221,0.235,0.251,0.268,0.283,0.299,0.314,0.331,0.347,0.364,0.391
NECE_1,0.158,0.169,0.179,0.191,0.204,0.225,0.242,0.268,0.295,0.323,0.371,0.395,0.420,0.446,0.479,0.513,0.549,0.587,0.627,0.670,0.716,0.764,0.816,0.870,0.929,0.981,1.035,1.089,1.145,1.202,1.260,1.356
NEEP_3,0.046,0.049,0.052,0.055,0.059,0.065,0.070,0.078,0.085,0.093,0.107,0.114,0.121,0.129,0.138,0.148,0.159,0.170,0.181,0.194,0.207,0.221,0.236,0.252,0.268,0.284,0.299,0.315,0.331,0.347,0.364,0.392
NETS,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.007,0.008,0.008,0.009,0.009,0.010,0.010,0.011,0.012,0.013,0.014,0.015,0.016,0.017,0.018,0.019,0.020,0.021,0.022,0.023,0.025,0.026,0.028
NEWX_6,0.171,0.184,0.195,0.207,0.221,0.244,0.262,0.291,0.320,0.350,0.402,0.428,0.456,0.484,0.519,0.556,0.595,0.637,0.681,0.727,0.776,0.829,0.885,0.944,1.007,1.065,1.123,1.182,1.242,1.304,1.367,1.472
NFLE,0.233,0.249,0.264,0.281,0.300,0.332,0.356,0.395,0.435,0.475,0.546,0.581,0.619,0.658,0.705,0.755,0.808,0.865,0.924,0.987,1.054,1.126,1.201,1.282,1.368,1.446,1.525,1.605,1.687,1.770,1.856,1.998
NHYD_6,0.073,0.078,0.083,0.088,0.094,0.104,0.112,0.124,0.137,0.150,0.172,0.183,0.195,0.207,0.222,0.238,0.254,0.272,0.291,0.310,0.332,0.354,0.378,0.403,0.430,0.455,0.479,0.505,0.530,0.557,0.584,0.628
NINF_1,0.233,0.250,0.265,0.282,0.300,0.332,0.357,0.396,0.436,0.476,0.547,0.582,0.620,0.659,0.706,0.757,0.810,0.866,0.926,0.989,1.056,1.127,1.204,1.284,1.370,1.448,1.527,1.608,1.690,1.774,1.859,2.002
