Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BRAP,9.927,9.487,9.388,9.233,9.113,8.973,8.834,8.694,8.557,8.420,8.281,8.186,8.144,8.108,8.078,8.057,8.044,8.044,8.058,8.078,8.111,8.165,8.251,8.358,8.476,8.610,8.742,8.869,8.972,9.058,9.146,9.222
BRAW_1,123.327,117.709,116.448,114.458,112.939,111.175,109.407,107.643,105.915,104.171,102.408,101.214,100.656,100.181,99.790,99.499,99.313,99.285,99.430,99.664,100.035,100.683,101.731,103.040,104.484,106.122,107.736,109.285,110.532,111.576,112.628,113.543
BRED_1,75.079,71.659,70.891,69.680,68.755,67.681,66.605,65.531,64.479,63.417,62.344,61.617,61.278,60.988,60.750,60.573,60.460,60.443,60.531,60.673,60.899,61.294,61.932,62.729,63.608,64.605,65.587,66.530,67.290,67.925,68.566,69.123
BRFO_1;CLT03,210.979,201.368,199.212,195.806,193.208,190.191,187.165,184.147,181.191,178.208,175.193,173.150,172.196,171.383,170.712,170.216,169.897,169.851,170.097,170.498,171.133,172.241,174.034,176.274,178.745,181.546,184.306,186.956,189.091,190.875,192.676,194.241
BRID_P,7.812,7.466,7.388,7.267,7.172,7.062,6.952,6.842,6.735,6.626,6.517,6.443,6.409,6.381,6.357,6.341,6.331,6.331,6.341,6.358,6.383,6.426,6.494,6.578,6.671,6.776,6.880,6.980,7.061,7.129,7.198,7.258
BRIM_1,86.186,82.260,81.379,79.988,78.926,77.694,76.458,75.225,74.017,72.799,71.567,70.733,70.343,70.011,69.737,69.534,69.404,69.385,69.485,69.649,69.909,70.361,71.094,72.009,73.018,74.162,75.290,76.373,77.244,77.974,78.709,79.349
BROA_P,3.632,3.471,3.435,3.378,3.334,3.283,3.232,3.181,3.131,3.081,3.030,2.995,2.980,2.966,2.955,2.948,2.943,2.943,2.948,2.956,2.968,2.987,3.019,3.058,3.101,3.150,3.198,3.245,3.283,3.314,3.346,3.374
BROR_P,2.383,2.277,2.253,2.216,2.187,2.154,2.120,2.087,2.054,2.021,1.988,1.965,1.955,1.946,1.939,1.934,1.931,1.931,1.934,1.939,1.947,1.960,1.981,2.006,2.035,2.067,2.098,2.129,2.154,2.174,2.195,2.214
BROX,15.234,14.559,14.408,14.170,13.986,13.771,13.557,13.342,13.133,12.922,12.708,12.563,12.498,12.443,12.397,12.365,12.345,12.345,12.366,12.398,12.448,12.530,12.663,12.827,13.009,13.214,13.416,13.611,13.769,13.901,14.035,14.153
BRWA1,60.121,57.382,56.768,55.798,55.057,54.197,53.335,52.475,51.633,50.783,49.924,49.342,49.070,48.838,48.647,48.505,48.415,48.401,48.472,48.586,48.767,49.082,49.593,50.232,50.936,51.734,52.521,53.276,53.884,54.393,54.906,55.352
BUMU_P,14.121,13.495,13.355,13.135,12.964,12.765,12.566,12.367,12.173,11.977,11.779,11.645,11.585,11.534,11.491,11.461,11.443,11.443,11.462,11.492,11.538,11.615,11.737,11.890,12.058,12.248,12.436,12.616,12.763,12.885,13.010,13.119
BURM_1,139.478,133.124,131.699,129.448,127.730,125.735,123.735,121.740,119.786,117.814,115.820,114.470,113.839,113.301,112.858,112.530,112.319,112.288,112.451,112.716,113.136,113.868,115.054,116.535,118.168,120.020,121.845,123.597,125.008,126.188,127.378,128.413
