Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BRID_P,0.210,0.350,0.524,0.739,0.966,1.246,1.583,1.985,2.454,2.979,3.528,4.071,4.602,5.066,5.435,5.704,5.903,6.045,6.163,6.286,6.412,6.549,6.697,6.818,6.935,7.037,7.126,7.202,7.271,7.332,7.383,7.421
BRIM_1,3.219,5.297,6.647,7.754,8.193,8.448,8.672,9.243,10.742,13.039,15.444,17.820,20.143,22.175,23.793,24.968,25.842,26.460,26.977,27.518,28.071,28.670,29.315,29.848,30.359,30.804,31.193,31.529,31.829,32.095,32.320,32.485
BROA_P,0.000,0.000,0.047,0.129,0.243,0.396,0.583,0.794,1.008,1.223,1.449,1.672,1.890,2.081,2.233,2.343,2.425,2.483,2.531,2.582,2.634,2.690,2.751,2.801,2.849,2.890,2.927,2.959,2.986,3.012,3.033,3.048
BROR_P,0.000,0.000,0.020,0.056,0.106,0.172,0.253,0.344,0.437,0.531,0.629,0.726,0.820,0.903,0.969,1.017,1.052,1.077,1.099,1.121,1.143,1.167,1.194,1.215,1.236,1.254,1.270,1.284,1.296,1.307,1.316,1.323
BROX,0.000,0.000,0.091,0.252,0.475,0.772,1.137,1.549,1.966,2.387,2.827,3.262,3.688,4.060,4.356,4.571,4.731,4.844,4.939,5.038,5.139,5.249,5.367,5.464,5.558,5.640,5.711,5.772,5.827,5.876,5.917,5.947
BRWA1,0.000,0.000,0.866,2.390,4.507,7.335,10.800,14.706,18.676,22.671,26.853,30.983,35.024,38.555,41.368,43.412,44.932,46.007,46.905,47.845,48.807,49.849,50.970,51.898,52.786,53.560,54.235,54.821,55.341,55.804,56.196,56.482
BUMU_P,0.280,0.450,0.742,1.142,1.605,2.194,2.908,3.741,4.665,5.663,6.708,7.739,8.749,9.631,10.334,10.844,11.224,11.492,11.717,11.951,12.192,12.452,12.732,12.964,13.186,13.379,13.548,13.694,13.824,13.940,14.037,14.109
BURM_1,2.427,3.994,5.677,7.681,9.636,11.999,14.826,18.253,22.430,27.227,32.249,37.209,42.062,46.303,49.681,52.136,53.961,55.252,56.331,57.460,58.615,59.866,61.213,62.327,63.394,64.323,65.134,65.837,66.462,67.018,67.489,67.832
BUSH_1,0.000,0.000,0.625,1.725,3.253,5.293,7.794,10.612,13.478,16.360,19.378,22.359,25.275,27.824,29.853,31.328,32.425,33.201,33.849,34.527,35.221,35.973,36.783,37.452,38.093,38.651,39.139,39.561,39.937,40.271,40.554,40.760
BUST_1,0.852,1.402,2.466,4.000,5.841,8.212,11.094,14.426,18.058,21.919,25.963,29.957,33.863,37.278,39.998,41.973,43.443,44.483,45.351,46.260,47.190,48.197,49.281,50.178,51.037,51.785,52.438,53.004,53.507,53.955,54.334,54.610
