Primary,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BRIM_1,2.033,2.634,2.905,3.383,3.853,4.370,5.372,6.375,7.641,8.779,9.996,11.124,12.156,13.762,15.144,16.366,18.321,20.022,22.333,23.879,25.357,26.593,29.040,34.273,37.198,38.686,41.449,45.617,48.908,50.235,50.584,52.280
BROA_P,0.054,0.070,0.077,0.089,0.102,0.116,0.142,0.169,0.202,0.232,0.264,0.294,0.322,0.364,0.401,0.433,0.485,0.530,0.591,0.632,0.671,0.703,0.768,0.906,0.984,1.023,1.096,1.206,1.293,1.329,1.338,1.383
BROR_P,0.032,0.042,0.046,0.054,0.061,0.070,0.086,0.102,0.122,0.140,0.159,0.177,0.194,0.219,0.242,0.261,0.292,0.319,0.356,0.381,0.404,0.424,0.463,0.547,0.593,0.617,0.661,0.728,0.780,0.801,0.807,0.834
BROX,0.263,0.341,0.376,0.438,0.499,0.566,0.696,0.826,0.990,1.137,1.295,1.441,1.574,1.782,1.961,2.119,2.373,2.593,2.892,3.093,3.284,3.444,3.761,4.439,4.817,5.010,5.368,5.908,6.334,6.506,6.551,6.771
BRWA1,1.163,1.507,1.662,1.936,2.205,2.501,3.074,3.648,4.372,5.023,5.720,6.366,6.956,7.875,8.666,9.365,10.484,11.457,12.779,13.664,14.510,15.217,16.617,19.612,21.285,22.137,23.718,26.103,27.986,28.746,28.946,29.916
BUMU_P,0.213,0.276,0.305,0.355,0.404,0.458,0.563,0.668,0.801,0.920,1.048,1.166,1.275,1.443,1.588,1.716,1.921,2.099,2.342,2.504,2.659,2.788,3.045,3.594,3.900,4.056,4.346,4.783,5.128,5.267,5.304,5.482
BURM_1,2.320,3.006,3.315,3.860,4.397,4.986,6.130,7.274,8.718,10.017,11.406,12.694,13.871,15.703,17.280,18.674,20.905,22.846,25.483,27.247,28.934,30.344,33.136,39.108,42.445,44.144,47.295,52.052,55.807,57.321,57.720,59.654
BUSH_1,1.057,1.369,1.510,1.759,2.003,2.272,2.792,3.314,3.972,4.563,5.196,5.783,6.319,7.154,7.872,8.507,9.524,10.408,11.609,12.413,13.181,13.824,15.096,17.817,19.337,20.111,21.547,23.714,25.424,26.114,26.296,27.177
BUST_1,2.415,3.129,3.451,4.019,4.578,5.191,6.382,7.573,9.077,10.429,11.875,13.215,14.441,16.349,17.991,19.442,21.764,23.786,26.531,28.368,30.123,31.592,34.498,40.716,44.190,45.958,49.240,54.192,58.101,59.678,60.093,62.107
CAAD_P,0.093,0.121,0.133,0.155,0.177,0.201,0.246,0.293,0.351,0.403,0.459,0.510,0.558,0.631,0.695,0.751,0.841,0.919,1.025,1.096,1.163,1.220,1.332,1.573,1.707,1.775,1.902,2.093,2.244,2.305,2.321,2.399
CAMB_01,0.203,0.263,0.290,0.338,0.385,0.436,0.536,0.636,0.762,0.876,0.997,1.110,1.213,1.373,1.511,1.633,1.828,1.998,2.228,2.383,2.530,2.654,2.898,3.420,3.712,3.860,4.136,4.552,4.880,5.013,5.048,5.217
CANTN1;RICH1;RICH_J,2.432,3.151,3.474,4.046,4.609,5.227,6.425,7.625,9.139,10.500,11.956,13.306,14.540,16.461,18.114,19.574,21.913,23.948,26.712,28.561,30.329,31.808,34.734,40.994,44.492,46.272,49.577,54.562,58.498,60.085,60.504,62.531
CAPEA1,1.876,2.430,2.680,3.121,3.556,4.032,4.956,5.882,7.050,8.100,9.223,10.264,11.217,12.698,13.973,15.100,16.904,18.474,20.606,22.033,23.396,24.537,26.794,31.624,34.322,35.695,38.244,42.090,45.126,46.351,46.674,48.238
CARE_1,0.671,0.870,0.959,1.117,1.272,1.443,1.774,2.105,2.523,2.898,3.300,3.673,4.014,4.544,5.000,5.403,6.049,6.611,7.373,7.884,8.372,8.780,9.588,11.316,12.281,12.773,13.685,15.061,16.147,16.586,16.701,17.261
CARR_1,1.930,2.500,2.757,3.210,3.657,4.147,5.098,6.050,7.251,8.331,9.487,10.558,11.537,13.061,14.372,15.532,17.387,19.002,21.195,22.662,24.065,25.238,27.560,32.527,35.302,36.715,39.337,43.293,46.416,47.675,48.007,49.616
CASS_P,0.004,0.005,0.006,0.007,0.008,0.009,0.011,0.013,0.015,0.017,0.020,0.022,0.024,0.027,0.030,0.033,0.036,0.040,0.044,0.048,0.050,0.053,0.058,0.068,0.074,0.077,0.083,0.091,0.097,0.100,0.101,0.104
CATY,0.101,0.131,0.144,0.168,0.191,0.217,0.267,0.317,0.380,0.436,0.497,0.553,0.604,0.684,0.752,0.813,0.910,0.995,1.110,1.186,1.260,1.321,1.443,1.703,1.848,1.922,2.059,2.266,2.430,2.496,2.513,2.597
CEAN_P,0.008,0.010,0.011,0.013,0.015,0.017,0.021,0.025,0.030,0.035,0.039,0.044,0.048,0.054,0.060,0.064,0.072,0.079,0.088,0.094,0.100,0.105,0.114,0.135,0.146,0.152,0.163,0.180,0.193,0.198,0.199,0.206
CELL_1,4.498,5.827,6.427,7.484,8.525,9.667,11.884,14.103,16.904,19.421,22.114,24.610,26.894,30.445,33.503,36.206,40.531,44.295,49.407,52.828,56.097,58.832,64.245,75.823,82.293,85.586,91.697,100.920,108.199,111.135,111.908,115.659
CHAP,0.199,0.257,0.284,0.330,0.376,0.427,0.525,0.623,0.746,0.858,0.976,1.087,1.187,1.344,1.479,1.599,1.790,1.956,2.182,2.333,2.477,2.598,2.837,3.348,3.634,3.779,4.049,4.456,4.777,4.907,4.941,5.107
CHAR_P,0.157,0.203,0.224,0.261,0.297,0.337,0.414,0.492,0.589,0.677,0.771,0.858,0.938,1.061,1.168,1.262,1.413,1.544,1.722,1.842,1.956,2.051,2.240,2.643,2.869,2.984,3.197,3.518,3.772,3.874,3.901,4.032
CHAS,0.130,0.169,0.186,0.217,0.247,0.280,0.344,0.408,0.489,0.562,0.640,0.712,0.778,0.881,0.970,1.048,1.173,1.282,1.430,1.529,1.623,1.703,1.859,2.194,2.382,2.477,2.654,2.921,3.131,3.216,3.239,3.347
CHIC_1,0.510,0.661,0.729,0.849,0.967,1.097,1.348,1.600,1.918,2.203,2.509,2.792,3.051,3.454,3.801,4.107,4.598,5.025,5.605,5.993,6.364,6.674,7.288,8.601,9.335,9.709,10.402,11.448,12.274,12.607,12.695,13.120
CHSI_1,1.718,2.225,2.454,2.858,3.255,3.691,4.538,5.385,6.454,7.415,8.444,9.397,10.269,11.625,12.792,13.824,15.476,16.913,18.865,20.171,21.419,22.463,24.530,28.951,31.421,32.679,35.012,38.533,41.313,42.434,42.729,44.161
