Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BLYTB1,81.000,80.008,80.398,80.337,80.541,80.851,80.667,79.310,78.285,77.548,76.914,76.672,77.158,77.574,78.022,78.448,78.826,79.419,79.996,80.549,81.084,81.404,81.775,82.269,82.746,83.187,83.599,83.947,84.261,84.534,84.772,84.969
BLYTH132,25.125,24.817,24.939,24.920,24.983,25.079,25.022,24.601,24.283,24.055,23.858,23.783,23.933,24.063,24.202,24.334,24.451,24.635,24.814,24.985,25.151,25.251,25.366,25.519,25.667,25.804,25.931,26.040,26.137,26.221,26.295,26.356
BOAG_P,5.715,5.645,5.673,5.668,5.683,5.704,5.691,5.596,5.523,5.471,5.427,5.410,5.444,5.473,5.505,5.535,5.562,5.603,5.644,5.683,5.721,5.743,5.770,5.805,5.838,5.869,5.898,5.923,5.945,5.964,5.981,5.995
BOLN_1,335.608,331.496,333.115,332.859,333.705,334.991,334.226,328.606,324.360,321.306,318.679,317.675,319.687,321.414,323.268,325.034,326.599,329.056,331.446,333.738,335.954,337.283,338.818,340.867,342.842,344.667,346.375,347.819,349.120,350.248,351.236,352.051
BONN,21.859,21.591,21.697,21.680,21.735,21.819,21.769,21.403,21.126,20.928,20.756,20.691,20.822,20.935,21.055,21.170,21.272,21.432,21.588,21.737,21.882,21.968,22.068,22.202,22.330,22.449,22.560,22.654,22.739,22.813,22.877,22.930
BOTW_1,65.497,64.694,65.010,64.960,65.126,65.376,65.227,64.130,63.302,62.706,62.193,61.997,62.390,62.727,63.089,63.433,63.739,64.218,64.685,65.132,65.564,65.824,66.123,66.523,66.909,67.265,67.598,67.880,68.134,68.354,68.547,68.706
BRAC_P,13.362,13.198,13.263,13.253,13.286,13.337,13.307,13.083,12.914,12.793,12.688,12.648,12.728,12.797,12.871,12.941,13.003,13.101,13.196,13.288,13.376,13.429,13.490,13.571,13.650,13.723,13.791,13.848,13.900,13.945,13.984,14.017
BRAI_1,98.283,97.078,97.553,97.478,97.726,98.102,97.878,96.232,94.989,94.094,93.325,93.031,93.620,94.126,94.669,95.186,95.644,96.364,97.064,97.735,98.384,98.773,99.223,99.823,100.401,100.936,101.436,101.859,102.240,102.570,102.859,103.098
BRAP,9.704,9.585,9.632,9.625,9.649,9.686,9.664,9.502,9.379,9.291,9.215,9.186,9.244,9.294,9.347,9.399,9.444,9.515,9.584,9.650,9.714,9.753,9.797,9.856,9.913,9.966,10.016,10.057,10.095,10.128,10.156,10.180
BRAW_1,152.605,150.736,151.472,151.355,151.740,152.325,151.977,149.422,147.491,146.102,144.908,144.451,145.366,146.151,146.994,147.797,148.509,149.626,150.713,151.755,152.763,153.367,154.065,154.997,155.895,156.725,157.501,158.158,158.749,159.263,159.712,160.082
