CODE_x,2020,2025,2030,2035,2040,2045,2050
E06000032,0.0,0.0,0.0,139.28861623475836,332.3573248422153,521.7189816106305,549.2514479864517
E06000033,0.0,0.0,0.0,129.28593698605908,308.4987965609123,484.28678452967824,509.7783483854217
E06000034,0.0,0.0,0.0,105.02223260385466,250.6049794557213,393.3260354835497,414.0936443946672
E06000035,0.0,0.0,0.0,187.16127379696732,446.46913515682814,700.9526502124014,737.8680529884198
E06000036,0.0,0.0,0.0,79.58718364724649,189.88337491013343,298.07941295953947,313.7807790677813
E06000037,0.0,0.0,0.0,90.54311084349806,215.5074177081007,337.8118522598097,355.5036256104101
E06000038,0.0,0.0,0.0,116.58607433400115,278.4158977334717,436.9632736067687,460.1542022525696
E06000039,0.0,0.0,0.0,82.97854145218275,198.1455659438829,311.0332932615326,327.5350628906491
E06000040,0.0,0.0,0.0,101.24994773865524,241.4845146802309,379.0597768196584,399.0112742603105
E06000041,0.0,0.0,0.0,100.1751137183487,238.93800822031287,375.12067217126616,394.8472699247535
E06000042,0.0,0.0,0.0,175.32637228194568,418.232226469854,656.5861608513716,691.088797669771
E06000043,0.0,0.0,0.0,227.60836900234443,543.2518970502051,852.7160819592647,897.6485225161451
E06000044,0.0,0.0,0.0,161.33652132611903,385.0606218696621,604.4090708744095,636.3157489983746
E06000045,0.0,0.0,0.0,167.40809498714182,400.01204831312674,627.663440444087,661.1167047307068
E06000046,0.0,0.0,0.0,111.479720114487,265.83127366522467,417.1257014319153,439.0692666910085
E06000047,0.0,0.0,0.0,8215.011616680005,19253.31095688877,30004.64532640168,31820.450014515587
E06000049,0.0,0.0,0.0,5772.768539303683,13397.989621753615,20801.24846369254,21959.34743909441
E06000050,0.0,0.0,0.0,5177.614350002853,12019.48263971269,18663.11905986935,19702.00055726536
E06000051,0.0,0.0,0.0,1788.2949063261915,4269.247301729867,6690.520764305674,7129.620155028259
E06000052,0.0,0.0,0.0,326.1757184638585,775.4193940572017,1214.0339931354397,1277.736996575147
E06000053,,0.0,0.0,0.9701171718246356,2.3177212378935224,3.623287806982413,3.818476584224996
E06000054,0.0,0.0,0.0,282.8864777101685,673.0921896992394,1055.0973884528191,1110.2719770608298
E06000055,0.0,0.0,0.0,111.00589432684868,264.69373764651823,415.4021244343869,437.254227854856
E06000056,0.0,0.0,0.0,167.928201141048,400.3673860461061,628.4044098906762,661.3955047108337
E06000057,0.0,0.0,0.0,4770.841865568724,11167.314731058012,17382.354946864318,18429.36785482822
E06000058,0.0,0.0,0.0,336.258792955388,802.3831485972263,1259.4378376809857,1325.9388177721128
E06000059,0.0,0.0,0.0,249.279365091315,593.5980728145812,930.9506617216836,979.6973154298382
E07000004,0.0,0.0,0.0,113.08366622084144,269.2906089230076,422.3899309175077,444.5131828021936
E07000005,0.0,0.0,0.0,58.90062104252718,140.38712297153344,220.33523369571327,231.87815842109347
E07000006,0.0,0.0,0.0,42.92717842591965,102.35041178224076,160.6751231539536,169.08859700523513
E07000007,0.0,0.0,0.0,111.11220306545732,264.9316540012989,415.77544940945313,437.636979228306
E07000008,0.0,0.0,0.0,93.15630866754071,222.351247795644,348.9829711334633,367.41526492722505
E07000009,0.0,0.0,0.0,44.93309744049319,106.80765523556722,167.39097544211393,176.0986800676519
E07000010,0.0,0.0,0.0,58.10554251572047,138.27000313329896,216.8167416013369,228.13612132857685
E07000011,0.0,0.0,0.0,115.58562720746798,275.3636484612161,432.062824809819,454.69850928001847
E07000012,0.0,0.0,0.0,80.77874919831125,192.0897109577779,301.12764459330583,316.8078410373733
E07000026,0.0,0.0,0.0,1520.1065270793804,3559.6894477584333,5542.393423437913,5876.861307814073
E07000027,0.0,0.0,0.0,1140.1957029257314,2673.6737269915548,4167.564354803733,4421.76930855334
E07000028,0.0,0.0,0.0,1654.7587653220223,3876.9425903111896,6038.351259616789,6404.634405272143
E07000029,0.0,0.0,0.0,1111.0877799355494,2603.4078474704293,4055.3940154539855,4300.735757252967
E07000030,0.0,0.0,0.0,740.5873232777274,1729.0181060736627,2683.8232427029707,2844.26782648536
E07000031,0.0,0.0,0.0,1888.1715727441324,4423.871257149887,6887.449981771484,7305.250817756559
E07000032,0.0,0.0,0.0,767.5617344287813,1836.7897458510752,2885.690364695977,3076.655342019111
E07000033,0.0,0.0,0.0,477.7102584566146,1142.9016305516675,1795.4649540187909,1914.2206846579345
E07000034,0.0,0.0,0.0,583.0540204754169,1394.842918740791,2191.748022167554,2334.126266232474
