CODE_x,2020,2025,2030,2035,2040,2045,2050
E06000018,0.0,14.544887094518366,280.77017299274576,563.7489191088295,838.1046565767232,863.4696765106257,890.2169277286107
E06000019,0.0,16.289357880867094,583.3630127427095,1149.6113602775686,1703.0739603495963,1694.79187763729,1702.7688526610943
E06000020,0.0,5.409823282235268,152.4312886173259,301.7649072280052,447.15453981387,449.6018547298623,455.5000140621061
E06000021,0.0,9.677783443105811,224.76073189362663,446.2868713570357,660.8702983280696,669.1578310675856,681.4613352906732
E06000022,0.0,11.063645776144092,249.2106216948006,502.7130864765673,748.5045613148112,761.7265747211135,782.3968737547008
E06000023,0.0,27.128286024328336,487.7485630047107,984.6761948635254,1462.8397104469614,1504.8936530651,1555.106664533391
E06000024,0.0,11.468132242103186,275.09712699758376,555.2367306072124,827.694313955233,841.5205706179595,863.9926534833697
E06000025,0.0,13.101106973755806,326.05344007004595,658.0173812762332,981.252886830738,996.2906931088507,1022.0626574122424
E06000026,0.0,12.006828584958315,230.09747114805825,463.2812865979164,687.7317561611118,703.3584153165888,724.4502368554492
E06000027,0.0,10.02313032898244,177.66150619445045,358.0346605465035,531.2922164924543,545.5382421020444,562.9854451305737
E06000030,0.0,9.69714034204275,191.14388825025856,385.8433275086537,574.0354782555503,588.4523107397314,606.9493671701464
E06000031,0.0,7.345080394955429,168.29122588447774,340.1086600655234,507.2427321641381,517.831732960242,532.9943926921874
E06000032,0.0,9.016559311896104,171.28071513720062,345.38778321883683,513.0654463563875,525.9031945740727,542.4751013523337
E06000033,0.0,9.178700021313295,171.59109303193742,345.3539952027068,512.1138598781888,523.5471530801015,539.2147705390928
E06000034,0.0,9.400920696926708,163.44667816272243,328.9387588205832,487.77897829459647,500.383073562586,515.8361534555784
E06000035,0.0,10.330550451029652,221.3336902404592,446.30022407192007,664.011670077898,677.5587879947636,697.2316851448899
E06000036,0.0,5.229625920823679,98.75183436314173,199.03535652643305,295.6958986068425,302.9593907526857,312.28133183430486
E06000037,0.0,11.59778317618532,330.285021172805,667.6233596018674,997.6784604345388,1010.0669224760192,1034.543780364625
E06000038,0.0,10.364225466052687,174.63432485645205,352.8096451252509,524.0184928279313,541.2372539489802,560.4240802109559
E06000039,0.0,7.350615946525397,126.52789748291144,255.3109547515413,379.0839775871887,390.6131222159593,403.8521642181019
E06000040,0.0,7.055503956833407,161.75379067573567,326.659844605744,487.0099113298427,496.5711607267203,510.6216888932882
E06000041,0.0,5.80387533776226,132.81940501550142,268.2605469935524,399.9940530144676,408.1339164706207,419.9079418339106
E06000042,0.0,9.21532229923334,198.52102312194472,401.0704069039077,597.5321057601427,611.0848831219625,629.7147403749015
E06000043,0.0,19.951414813381923,367.29801276435904,741.0566284856636,1100.3737520167956,1129.1776446437457,1165.485466772648
E06000044,0.0,12.442098938529124,225.45402975431244,454.45257160125857,674.3338559090369,691.8972533856609,714.0567467933478
E06000045,0.0,19.74456765565668,306.69807679006493,619.090473657084,918.0245839826237,950.4592134105616,984.9349491180844
E06000046,0.0,10.768396775659893,237.2008148914861,478.8206303153666,713.3334794769731,727.4141929319569,747.8589030627411
E06000047,0.0,18.32352917745292,646.7122095587192,1300.750232701855,1938.3050819627067,1954.1715980491408,1941.821973816012
E06000049,0.0,18.76934014156136,607.8464683771382,1222.1882177896173,1819.66020762388,1835.932911356013,1826.8115277263776
E06000050,0.0,16.045324685693437,492.0762455184852,988.8602829954754,1471.4616706635272,1486.1534330608686,1480.837491363518
E06000051,0.0,25.25033088885445,908.220968907212,1790.7642395339933,2653.804439173082,2642.4882470483662,2656.200924226741
E06000052,0.0,68.130378736054,1906.15755502834,3852.871948131484,5757.591457467718,5831.087890901682,5971.810941990633
E06000054,0.0,37.12557527504999,1064.1025372414254,2149.2644165846127,3210.655140583783,3246.324845523282,3322.071879702417
E06000055,0.0,8.840467852819529,208.34784916324463,420.7693128881415,627.3878363158861,638.7887896685047,656.352534223662
E06000056,0.0,12.148252111646825,303.68268407199247,613.5546259388941,915.8121503951164,931.4111753015798,956.4249490749324
E06000057,0.0,19.19260384158696,762.8374085460855,1535.4633404256094,2289.899594886968,2301.449641053563,2278.184981107996
E06000058,0.0,25.50358146519055,459.7380838929214,925.9631842240432,1373.7777963516287,1408.644116354616,1452.660397827706
E06000059,0.0,27.097834275884,751.3690978655728,1517.8199833649169,2266.9710605072946,2295.448812779306,2351.10177563057
