Willington,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Hams Hall,4.705343646,4.658418873,4.611306227,4.548614615,4.490938349,4.423231408,4.344866892,4.266502377,4.188121303,3.903210401,3.561323587,3.133957234,2.564166775,1.709434068,,,,,,,,,,,,,,,,,
Harker,72.98192073,72.25409715,71.52335958,70.55098548,69.65640158,68.60623756,67.39076994,66.17530231,64.95957786,60.54048619,55.23767343,48.60903594,39.77133879,26.5140638,,,,,,,,,,,,,,,,,
Hawthorn Pit,1.920450199,1.90129821,1.882069542,1.856482438,1.832942309,1.805308236,1.773324356,1.741340475,1.709349836,1.59306562,1.453527119,1.279100794,1.046545155,0.697692505,,,,,,,,,,,,,,,,,
Heysham (NGET),4.620632059,4.574552085,4.528287621,4.466724663,4.410086759,4.343598764,4.266645066,4.189691369,4.11272141,3.832939837,3.497208105,3.077535745,2.518003379,1.678658659,,,,,,,,,,,,,,,,,
Indian Queens,1.390040144,1.376177752,1.362259859,1.343739669,1.3267011,1.306699295,1.283549057,1.26039882,1.237243691,1.153076068,1.052076772,0.925825337,0.75749935,0.50499648,,,,,,,,,,,,,,,,,
Kaimes,1.490021799,1.475162325,1.460243357,1.440391062,1.422126957,1.400686478,1.37587111,1.351055741,1.326235129,1.236013567,1.127749677,0.992417334,0.811984135,0.541319448,,,,,,,,,,,,,,,,,
Keadby,55.87691843,55.31967715,54.76020484,54.01572912,53.33081166,52.52677788,51.59618323,50.66558858,49.73479729,46.35142204,42.29144618,37.2163833,30.45000503,20.29987928,,,,,,,,,,,,,,,,,
Kearsley 132kV,21.41855485,21.20495498,20.99049991,20.70512995,20.44258966,20.1343901,19.77767765,19.4209652,19.06417737,17.7672732,16.21101674,14.26566048,11.67199483,7.781282326,,,,,,,,,,,,,,,,,
Kilwinning,13.11219183,12.98142846,12.85014154,12.67544135,12.51471722,12.32604101,12.10766577,11.88929052,11.67086914,10.87691939,9.924197161,8.733272538,7.14546039,4.763611143,,,,,,,,,,,,,,,,,
Kintore,7.361038197,7.287629096,7.213926087,7.115851347,7.025622614,6.919701895,6.797108471,6.674515046,6.551895717,6.106181186,5.571333557,4.902761761,4.011381738,2.674238146,,,,,,,,,,,,,,,,,
Kirkstall B,14.43947518,14.29547527,14.15089882,13.95851457,13.78152112,13.57374614,13.33326583,13.09278553,12.85225441,11.97793699,10.92877533,9.617299203,7.868760561,5.24580831,,,,,,,,,,,,,,,,,
Kitwell,13.26987769,13.13754177,13.00467601,12.82787489,12.66521791,12.4742727,12.2532713,12.0322699,11.8112218,11.00772409,10.04354453,8.838297967,7.231390955,4.820897837,,,,,,,,,,,,,,,,,
Knaresborough,1.371750142,1.35807015,1.344335387,1.326058884,1.309244506,1.289505883,1.266660254,1.243814625,1.220964169,1.137904014,1.038233656,0.913643424,0.747532253,0.498351789,,,,,,,,,,,,,,,,,
Lackenby,21.17789693,20.96669706,20.7546516,20.47248804,20.21289764,19.908161,19.55545655,19.20275211,18.84997313,17.56764092,16.02887048,14.10537216,11.54084882,7.693852188,,,,,,,,,,,,,,,,,
Landulph,9.826544178,9.728547434,9.630158341,9.499234449,9.378784507,9.237386704,9.073731841,8.910076977,8.746387533,8.151385386,7.437395903,6.544892684,5.354953854,3.569947415,,,,,,,,,,,,,,,,,
Legacy,3.749197065,3.711807613,3.674268464,3.624316064,3.57835987,3.524411278,3.461970777,3.399530277,3.337076583,3.110060833,2.837646927,2.497123302,2.043116777,1.362069526,,,,,,,,,,,,,,,,,
Leven,10.60299512,10.4972551,10.39109173,10.2498228,10.11985542,9.96728498,9.790698818,9.614112656,9.437489181,8.795472543,8.025066704,7.062041748,5.778079106,3.852029193,,,,,,,,,,,,,,,,,
Lister Drive,47.21961709,46.7487121,46.27592174,45.64679151,45.06799188,44.38853123,43.60211844,42.81570565,42.02912669,39.16995535,35.73901265,31.45025564,25.73222752,17.15471349,,,,,,,,,,,,,,,,,
Lovedean,3.017850313,2.98775433,2.957537852,2.917329545,2.880337914,2.836912943,2.786652559,2.736392175,2.686121171,2.503388831,2.284114044,2.010015533,1.644570957,1.096373937,,,,,,,,,,,,,,,,,
Macclesfield,2.502842365,2.477882379,2.452822461,2.419475859,2.388796994,2.352782664,2.311099411,2.269416158,2.227724097,2.076175745,1.894321057,1.666998528,1.363918497,0.90927344,,,,,,,,,,,,,,,,,
Maybole,7.152104637,7.080779158,7.009168114,6.913877099,6.826209392,6.723295096,6.604181328,6.485067559,6.365928621,5.932865122,5.413198452,4.763603202,3.897523849,2.598333351,,,,,,,,,,,,,,,,,
Nechells,7.316000759,7.243040801,7.169788733,7.072314049,6.982637368,6.877364709,6.755521355,6.633678,6.5118089,6.068821408,5.537246166,4.872764929,3.986838684,2.65787621,,,,,,,,,,,,,,,,,
Norton,10.87773797,10.76925803,10.66034377,10.51541431,10.38207924,10.22555542,10.04439359,9.863231764,9.682031653,9.023379199,8.233010747,7.245032066,5.927799622,3.95184226,,,,,,,,,,,,,,,,,
Offerton,1.155158015,1.143638021,1.132071905,1.116681166,1.10252169,1.085899691,1.066661267,1.047422842,1.028180353,0.958234959,0.874302026,0.769383936,0.629500845,0.419664665,,,,,,,,,,,,,,,,,
Oldbury,1.371750142,1.35807015,1.344335387,1.326058884,1.309244506,1.289505883,1.266660254,1.243814625,1.220964169,1.137904014,1.038233656,0.913643424,0.747532253,0.498351789,,,,,,,,,,,,,,,,,
Osbaldwick,2.887895037,2.859095053,2.830179763,2.791702914,2.756304224,2.714749227,2.666653166,2.618557105,2.570450881,2.395587398,2.185755066,1.923459841,1.573752112,1.049161662,,,,,,,,,,,,,,,,,
Penwortham East,5.342605818,5.289325848,5.235832562,5.164650391,5.099162815,5.022286071,4.933308358,4.844330645,4.755334131,4.431836686,4.043646871,3.558400705,2.911441407,1.940949075,,,,,,,,,,,,,,,,,
Penwortham West,32.63321391,32.3077741,31.98103132,31.54624293,31.14623773,30.67666627,30.13318078,29.58969529,29.04609496,27.0701376,24.69903224,21.7350962,17.78339887,11.85552678,,,,,,,,,,,,,,,,,
Persley,2.057125153,2.036610151,2.016013014,1.988604922,1.963389485,1.933788745,1.89952863,1.865268515,1.83100116,1.706441207,1.556972004,1.370132075,1.121025873,0.747346014,,,,,,,,,,,,,,,,,
Port Dundas,2.384034879,2.360259719,2.336389371,2.3046257,2.275403131,2.241098365,2.201393776,2.161689186,2.121976207,1.977621707,1.804399484,1.587867734,1.299174616,0.866111117,,,,,,,,,,,,,,,,,
Rainhill,47.32094674,46.84903122,46.37522629,45.744746,45.1647043,44.48378559,43.69568522,42.90758485,42.11931795,39.25401105,35.81570581,31.51774546,25.78744689,17.19152618,,,,,,,,,,,,,,,,,
Rassau,1.234093812,1.221786619,1.209430152,1.192987712,1.177860672,1.160102837,1.139549786,1.118996736,1.098439343,1.023714348,0.934045998,0.821958505,0.672516736,0.44834175,,,,,,,,,,,,,,,,,
Ratcliffe,12.0030544,11.88335207,11.76317049,11.60324788,11.45611912,11.28340271,11.08349944,10.88359618,10.68365068,9.956859755,9.084726638,7.994540251,6.541038362,4.360665588,,,,,,,,,,,,,,,,,
Saltend North,27.05283807,26.78304943,26.51218063,26.15174233,25.8201392,25.43086585,24.98031798,24.52977011,24.07912704,22.44106422,20.47542487,18.01833063,14.7423852,9.828196729,,,,,,,,,,,,,,,,,
Saltholme,145.0916972,143.6447476,142.1920049,140.2588767,138.4803993,136.3926209,133.9762106,131.5598004,129.1428796,120.357505,109.8152488,96.637187,79.06740445,52.71128078,,,,,,,,,,,,,,,,,
Sheffield City,1.877131774,1.858411784,1.839616846,1.814606894,1.791597746,1.764586998,1.733324558,1.702062118,1.670793073,1.557131809,1.420740793,1.250248896,1.022938873,0.68195508,,,,,,,,,,,,,,,,,
