GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
BLYTB1,1.014960318,1.018327218,1.02062878,1.021947027,1.024444139,1.028548793,1.032294613,1.036155261,1.040308749,1.044849085,1.049776923,1.055557843,1.062004932,1.068849355,1.076078005,1.083595485,1.091470374,1.099753585,1.108433348,1.117949082,1.128022931,1.138713234,1.150046873,1.162034919,1.17474486,1.188195627,1.202441943,1.22,1.23,1.250299564,
BOAG_P,0.051579302,0.051750404,0.051867368,0.05193436,0.052061261,0.052269855,0.052460214,0.052656408,0.052867485,0.05309822,0.053348648,0.053642429,0.053970065,0.054317891,0.054685244,0.055067275,0.05546747,0.055888414,0.056329511,0.056813092,0.057325035,0.057868306,0.05844427,0.059053491,0.059699398,0.060382953,0.061106937,0.0619,0.0627,0.063539015,
BOLN_1,25.70042193,29.53131538,29.01161041,28.42387557,27.78315093,27.10120419,26.38585436,25.64705166,24.85283516,24.0446994,23.25568904,22.51038719,21.77519976,21.04301635,20.35945784,19.70922809,19.10346964,18.49697975,17.91085408,17.36464812,16.85582948,16.3823069,15.97465771,15.65384431,15.40818664,15.14768598,14.92733556,14.7,14.6,14.46777687,
BONN,0.275089612,0.27600216,0.276625963,0.276983254,0.277660058,0.278772563,0.279787811,0.28083418,0.28195992,0.283190509,0.284526126,0.286092957,0.287840342,0.289695419,0.291654635,0.293692134,0.295826503,0.298071542,0.300424061,0.303003156,0.30573352,0.308630964,0.311702776,0.314951954,0.31839679,0.322042417,0.325903666,0.329988176,0.334308217,0.338874748,
BOTW_1,11.38478475,10.52817332,10.20712406,9.853252445,9.472219656,9.069440182,8.650206134,8.21909361,7.76011423,7.300206994,6.861337669,6.44351731,6.030337266,5.624628094,5.24278455,4.883762128,4.546681423,4.230652952,3.934659401,3.657673586,3.398685884,3.15667831,2.946587072,2.778881954,2.647634002,2.508512508,2.388532201,2.285561366,2.197855585,2.123965288,
BRAC_P,0.08527778,0.085560669,0.085754049,0.085864809,0.086074618,0.086419494,0.086734221,0.087058596,0.087407575,0.087789058,0.088203099,0.088688816,0.089230506,0.08980558,0.090412937,0.091044562,0.091706216,0.092402178,0.093131459,0.093930978,0.094777391,0.095675599,0.096627861,0.097635106,0.098703006,0.099833149,0.101030136,0.102296334,0.103635547,0.105051172,
BRAW_1,0.393252064,4.922116119,5.013141184,5.103378729,5.193756191,5.284529295,5.375116622,5.465655861,5.556336562,5.647235264,5.712166348,5.776855997,5.841216572,5.891731947,5.941726994,5.977246906,6.01203826,6.01511528,6.018415015,6.022076578,6.025964167,6.030017253,6.034424952,6.039002599,6.043933115,6.049102145,6.054634314,6.060467304,6.066642748,6.073205826,
BRAI_1,2.525553321,2.586751987,2.639865388,2.692814984,2.759104414,2.82560236,2.892084292,2.991541693,3.091044243,3.111332056,3.090043191,2.925851961,2.709129792,2.602382244,2.702329668,2.430183816,2.025656808,1.942972943,2.006186004,2.04934812,2.116742809,2.157817306,2.199021143,2.240288039,2.275089799,2.309979292,2.34500371,2.36365084,2.382424825,2.440964941,
BRFO_1,68.24237246,69.88914004,71.3181441,72.74242521,74.52580593,76.31531383,78.10427499,80.78000865,83.45705108,84.0040745,83.43319494,79.01983867,73.19410124,70.32579307,73.01579333,65.7000174,54.82452767,52.60377559,54.30643046,55.47017069,57.28572366,58.3937062,59.50537492,60.61895101,61.55890825,62.50146435,63.44790605,63.95421654,64.46421937,66.04385778,
BRLE_1,2.098114205,2.105074221,2.109831984,2.112557048,2.117719048,2.126204144,2.133947458,2.141928146,2.150514185,2.159899916,2.170086688,2.182036938,2.195364285,2.209512997,2.224455979,2.239996028,2.256274904,2.273397864,2.291340569,2.311011386,2.331835928,2.353934797,2.377363564,2.402145115,2.428418956,2.456224228,2.485674047,2.516826689,2.549775732,2.584604766,
