GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
SSHI_3,301.3,293.2,287.7,285.1,282.1,281.3,281.1,283.6,287.0,289.8,294.5,300.4,308.8,317.5,328.5,345.2,361.0,375.8,389.4,400.4,413.3,423.2,430.8,436.9,442.1,449.0,453.9,459.2,464.0,467.4,
SPEN_1,967.8,943.6,928.9,924.3,919.6,923.7,934.0,957.4,990.0,1016.8,1050.4,1093.0,1147.4,1204.1,1269.1,1346.1,1422.9,1492.8,1555.4,1606.8,1658.3,1698.2,1723.4,1734.0,1743.0,1754.3,1759.7,1767.2,1773.6,1775.8,
STEN_1,887.9,867.3,855.2,851.5,845.6,846.8,850.7,863.9,881.2,896.4,919.1,945.8,981.3,1017.8,1061.6,1119.2,1175.5,1227.5,1274.8,1313.9,1354.6,1386.8,1409.2,1423.5,1436.1,1448.4,1458.8,1470.3,1480.4,1486.6,
STES_1,888.6,865.1,849.5,842.5,834.6,834.1,836.3,847.9,864.1,878.0,898.8,923.5,957.0,991.4,1033.3,1085.0,1135.0,1180.7,1221.4,1255.2,1289.8,1315.8,1332.2,1340.4,1348.1,1356.2,1361.5,1368.0,1373.3,1375.2,
TEMP_3,36.8,38.1,39.6,41.6,43.3,45.1,46.5,48.5,50.6,52.7,55.4,58.3,61.9,66.3,72.4,83.8,95.1,106.1,116.3,125.1,136.1,145.2,153.0,159.8,165.2,172.0,177.2,182.3,187.1,189.9,
THOM_6,522.5,514.3,512.6,516.9,520.5,528.3,540.8,561.0,586.0,611.0,640.7,678.1,723.8,772.1,825.7,887.4,954.4,1016.4,1072.6,1118.6,1160.6,1198.6,1224.9,1238.8,1249.6,1256.2,1263.9,1273.4,1281.9,1286.7,
THUR_6,952.9,927.5,910.0,902.0,894.0,894.5,897.1,910.0,928.2,944.7,968.2,996.5,1034.5,1074.2,1123.4,1185.3,1242.3,1293.8,1339.3,1377.4,1420.0,1448.8,1465.9,1472.6,1479.3,1491.8,1495.3,1500.3,1503.9,1503.1,
TYNE_1,624.0,607.8,597.1,592.1,585.7,583.9,583.2,588.1,594.7,600.3,609.6,621.3,638.2,655.4,677.4,709.0,738.4,765.6,790.5,811.0,834.6,851.8,864.2,873.3,881.5,893.0,900.4,908.4,915.4,919.8,
TYNE_2,259.7,252.5,247.4,245.0,242.6,242.2,242.8,245.9,250.5,254.4,260.0,266.9,276.4,286.2,298.1,314.0,328.8,342.4,354.6,364.6,375.8,383.9,389.3,392.5,395.3,399.4,401.7,404.3,406.7,407.9,Note: TYNE2 is operated by an IDNO allocated to GSP Group/licence area F
WBOL_6,943.7,919.0,902.5,895.3,887.1,886.3,888.3,899.7,915.7,929.1,948.9,973.2,1006.6,1041.0,1083.2,1142.1,1197.3,1248.3,1294.7,1332.6,1375.9,1408.0,1430.7,1445.9,1459.1,1477.4,1488.9,1501.7,1513.1,1520.2,
WMEL_1,2392.4,2324.2,2276.3,2250.6,2222.2,2214.2,2210.7,2229.7,2257.9,2283.0,2322.8,2371.9,2442.2,2512.7,2601.3,2708.8,2805.0,2890.6,2965.5,3028.1,3096.7,3139.0,3159.7,3163.4,3170.7,3189.8,3191.6,3196.1,3198.0,3194.2,
WIBA_3,161.7,158.1,155.7,154.8,153.5,153.2,152.7,153.8,155.1,156.4,158.7,161.5,165.6,169.9,176.2,184.4,192.0,199.0,205.2,210.7,216.9,221.0,223.6,225.1,226.7,229.2,230.3,231.4,232.2,231.9,
