GSP,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CLAY_P,,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.5,0.9,1.6,2.6,4.2,6.3,9.1,12.4,16.0,19.5,22.6,25.2,26.8,27.6,27.8,27.4,26.6,25.5,24.4,23.0,21.5,19.7,17.8
CLT03,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLYM,,0.0,0.0,0.0,0.0,0.1,0.3,0.6,1.2,2.3,4.0,6.7,10.6,16.1,23.2,31.6,40.8,49.7,57.7,64.3,68.3,70.4,70.8,69.8,67.6,65.0,62.1,58.6,54.7,50.3,45.2
COAT,,0.0,0.0,0.0,0.0,0.1,0.2,0.5,0.9,1.7,3.0,5.1,8.1,12.3,17.7,24.0,31.0,37.8,43.9,48.9,51.9,53.5,53.9,53.1,51.4,49.5,47.2,44.6,41.6,38.2,34.4
COCK,,0.0,0.0,0.0,0.0,0.1,0.2,0.5,1.0,1.9,3.3,5.6,8.9,13.4,19.3,26.3,33.9,41.3,48.0,53.5,56.8,58.5,58.9,58.1,56.2,54.1,51.6,48.8,45.5,41.8,37.6
CONQA1,,0.0,0.0,0.0,0.0,0.4,1.0,2.1,4.3,8.0,14.1,23.7,37.6,57.0,82.0,111.6,143.9,175.4,203.7,227.0,241.1,248.5,250.1,246.7,238.9,229.7,219.2,207.1,193.2,177.5,159.7
COUA_P,,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.5,0.9,1.5,2.5,4.0,6.1,8.8,12.0,15.4,18.8,21.8,24.3,25.8,26.6,26.8,26.5,25.6,24.6,23.5,22.2,20.7,19.0,17.1
COVE_1,,0.0,0.0,0.0,0.0,1.0,2.2,4.8,9.7,17.9,31.7,53.2,84.3,127.9,184.0,250.4,322.9,393.4,456.9,509.2,540.7,557.3,561.0,553.3,535.7,515.3,491.6,464.4,433.4,398.1,358.3
COWL_1,,0.0,0.0,0.0,0.0,1.1,2.6,5.7,11.5,21.3,37.8,63.4,100.5,152.4,219.2,298.4,384.7,468.7,544.4,606.7,644.3,664.1,668.5,659.3,638.4,614.0,585.8,553.4,516.4,474.4,426.9
COYL,,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.8,1.5,2.7,4.6,7.3,11.0,15.9,21.6,27.9,33.9,39.4,43.9,46.7,48.1,48.4,47.7,46.2,44.5,42.4,40.1,37.4,34.4,30.9
CRAI_P,,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.8,1.4,2.5,4.1,6.6,10.0,14.3,19.5,25.1,30.6,35.6,39.6,42.1,43.4,43.7,43.1,41.7,40.1,38.3,36.1,33.7,31.0,27.9
CREB_1,,0.0,0.0,0.0,0.0,0.8,1.9,4.1,8.3,15.3,27.1,45.5,72.0,109.3,157.2,214.0,275.9,336.2,390.4,435.1,462.1,476.2,479.4,472.8,457.8,440.3,420.1,396.9,370.3,340.2,306.2
CUMB,,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.8,1.4,2.5,4.2,6.7,10.2,14.7,20.0,25.7,31.4,36.4,40.6,43.1,44.4,44.7,44.1,42.7,41.1,39.2,37.0,34.6,31.7,28.6
CUPA,,0.0,0.0,0.0,0.0,0.1,0.2,0.4,0.9,1.6,2.9,4.8,7.6,11.5,16.6,22.6,29.1,35.5,41.2,45.9,48.8,50.2,50.6,49.9,48.3,46.5,44.3,41.9,39.1,35.9,32.3
