GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Ferrybridge B (_M),1442.1,1464.0,1485.9,1507.8,1529.7,1551.6,1573.5,1595.4,1617.3,1639.2,1661.1,1683.0,1705.0,1726.9,1748.8,1770.6,1792.4,1814.3,1836.2,1858.1,1880.1,1902.1,1924.0,1945.9,1967.8,1989.7,2011.7,2033.5,2055.4,2077.3,
FOUR_1,519.6,527.5,535.5,543.3,551.3,559.1,567.0,574.9,582.8,590.7,598.6,606.5,614.4,622.3,630.2,638.0,645.9,653.8,661.7,669.6,677.5,685.4,693.3,701.2,709.1,717.0,724.9,732.8,740.7,748.6,
GRIW_1,3628.7,3683.9,3739.0,3794.1,3849.3,3904.3,3959.5,4014.6,4069.7,4124.9,4180.0,4235.1,4290.2,4345.3,4400.5,4455.4,4510.3,4565.5,4620.6,4675.7,4731.0,4786.3,4841.4,4896.6,4951.7,5006.8,5061.9,5117.0,5172.1,5227.3,
HARM_6,1415.7,1437.3,1458.8,1480.3,1501.8,1523.3,1544.8,1566.3,1587.8,1609.3,1630.8,1652.3,1673.8,1695.4,1716.8,1738.3,1759.7,1781.2,1802.7,1824.2,1845.8,1867.4,1888.9,1910.4,1931.9,1953.4,1974.9,1996.4,2017.9,2039.4,
HAWP_6,1193.5,1211.6,1229.7,1247.9,1266.0,1284.2,1302.3,1320.4,1338.6,1356.7,1374.8,1392.9,1411.1,1429.2,1447.3,1465.4,1483.4,1501.6,1519.7,1537.8,1556.0,1574.2,1592.3,1610.5,1628.6,1646.7,1664.9,1683.0,1701.1,1719.3,
JORD_3,591.4,600.4,609.4,618.4,627.3,636.3,645.3,654.3,663.3,672.3,681.2,690.2,699.2,708.2,717.2,726.2,735.1,744.1,753.1,762.1,771.1,780.1,789.0,798.1,807.0,816.0,825.0,834.0,843.0,852.0,
KEAD_1,4995.9,5071.9,5147.8,5223.7,5299.6,5375.5,5451.4,5527.3,5603.2,5679.0,5754.9,5830.8,5906.7,5982.6,6058.5,6134.2,6209.8,6285.7,6361.6,6437.5,6513.6,6589.7,6665.6,6741.5,6817.4,6893.3,6969.2,7045.1,7120.9,7196.8,
KIRKB1,4114.0,4176.5,4239.0,4301.5,4364.0,4426.5,4489.0,4551.5,4614.0,4676.4,4738.9,4801.4,4863.9,4926.4,4988.9,5051.2,5113.5,5176.0,5238.5,5301.0,5363.6,5426.3,5488.9,5551.4,5613.8,5676.3,5738.8,5801.3,5863.8,5926.3,
KNAR,2933.5,2978.1,3022.7,3067.2,3111.8,3156.4,3200.9,3245.5,3290.0,3334.6,3379.2,3423.7,3468.3,3512.8,3557.4,3601.8,3646.2,3690.8,3735.3,3779.9,3824.6,3869.3,3913.8,3958.4,4003.0,4047.5,4092.1,4136.7,4181.3,4225.8,
LACK_6,2650.4,2690.8,2731.0,2771.3,2811.5,2851.8,2892.1,2932.3,2972.6,3012.9,3053.1,3093.4,3133.6,3173.9,3214.1,3254.3,3294.4,3334.7,3375.0,3415.2,3455.6,3495.9,3536.3,3576.5,3616.8,3657.0,3697.3,3737.5,3777.8,3818.0,
