GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BRFO_1;CLT03,9.6,18,26,32.1,35.5,37.3,40.7,44.2,47.5,50.9,51.6,55.3,58.9,62.7,66.8,63.6,65.6,69.1,74.5,83,88.5,96.6,104.9,113.8,123.4,131.4,140.9,150.7,160.9,171.1
BRID_P,0.5,1,1.4,1.7,1.9,2.4,2.6,2.8,3,3.2,3.7,3.9,4.2,4.5,4.8,4.8,4.9,5.2,5.6,6.2,6.6,7.2,7.8,8.5,9.2,9.4,10.1,10.8,11.5,12.3
BRIM_1,2.1,3.9,5.7,7,7.8,7.8,8.5,9.2,9.9,10.6,10.8,11.6,12.4,13.2,14,14.4,14.8,15.6,16.9,18.8,21.1,23.1,25.1,27.2,29.5,32.8,35.1,37.6,40.1,42.7
BROA_P,0.1,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1,1.1,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2,2.1,2.2,2.4,2.5,2.7
BROR_P,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9
BROX,1.1,2.1,3,3.7,4.1,5.4,5.9,6.4,6.9,7.4,8.7,9.3,9.9,10.5,11.2,11.4,11.8,12.4,13.3,14.9,15.9,17.3,18.8,20.4,22.1,22.8,24.5,26.2,28,29.8
BRWA1,3.7,7,10.1,12.5,13.8,15.9,17.4,18.9,20.3,21.8,22.7,24.3,25.9,27.6,29.4,27.8,28.7,30.2,32.6,36.2,37.9,41.3,44.9,48.7,52.8,55.1,59.1,63.2,67.5,71.8
BUMU_P,1.1,2,2.9,3.5,3.9,4.9,5.3,5.8,6.2,6.7,7.6,8.2,8.7,9.3,9.9,9.9,10.2,10.7,11.6,12.9,13.6,14.9,16.1,17.5,19,19.5,20.9,22.3,23.9,25.4
BURM_1,5.4,10.1,14.6,18.1,20,22.3,24.3,26.4,28.4,30.4,31.6,33.8,36.1,38.4,40.9,39.4,40.6,42.7,46.2,51.4,55,60.1,65.3,70.8,76.8,81.9,87.9,94,100.3,106.7
BUSH_1,2.2,4.1,5.8,7.2,8,8.3,9,9.8,10.6,11.3,11.6,12.4,13.3,14.1,15,14.9,15.3,16.1,17.4,19.4,21.4,23.4,25.4,27.6,29.9,32.7,35.1,37.5,40.1,42.6
BUST_1,3.1,5.7,8.3,10.2,11.3,11.6,12.6,13.7,14.8,15.8,16.2,17.4,18.5,19.7,21,21.2,21.9,23,24.9,27.7,31,33.9,36.8,39.9,43.3,47.8,51.3,54.9,58.6,62.3
CAAD_P,0.2,0.4,0.6,0.7,0.8,0.7,0.8,0.9,0.9,1,0.9,1,1,1.1,1.2,1,1,1.1,1.1,1.3,1.2,1.3,1.4,1.5,1.6,1.5,1.6,1.7,1.9,2
CAMB_01,0.4,0.8,1.2,1.4,1.6,1.7,1.9,2,2.2,2.4,2.5,2.7,2.9,3.1,3.3,3.2,3.3,3.4,3.7,4.1,4.4,4.8,5.2,5.7,6.2,6.4,6.9,7.4,7.9,8.4
CANTN1;RICH1;RICH_J,4.5,8.5,12.2,15.2,16.8,17.7,19.4,20.9,22.6,24.2,25.2,26.9,28.8,30.6,32.6,33.6,34.6,36.5,39.3,43.8,49.2,53.7,58.4,63.3,68.7,75.9,81.5,87.1,93.1,99
