GSP,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Ferrybridge A,62247.5,62655.5,63120.5,63514.6,63842.0,64141.1,64446.5,64745.4,65030.6,65303.0,65582.6,65860.5,66131.1,66388.6,66639.4,66895.4,67139.9,67376.0,67596.7,67810.2,68032.1,68245.9,68438.0,68632.1,68826.9,69021.9,69218.6,69416.1,69614.2,69811.7,
Ferrybridge B (_M),57965.9,58344.6,58777.4,59144.7,59449.8,59728.4,60012.7,60289.9,60555.5,60810.8,61070.6,61329.5,61580.7,61821.8,62053.8,62292.9,62520.4,62740.9,62945.6,63145.0,63351.6,63550.6,63729.4,63909.4,64090.7,64273.1,64456.3,64640.3,64824.8,65008.7,
Fourstones,9707.6,9770.6,9842.8,9904.6,9955.6,10002.6,10050.3,10096.3,10141.0,10182.8,10227.6,10270.1,10312.1,10352.1,10391.8,10431.6,10469.1,10506.2,10540.8,10574.3,10608.5,10641.5,10672.3,10702.4,10732.7,10763.8,10794.0,10824.4,10854.8,10886.5,
Grimsby West,132687.6,133555.3,134547.5,135388.4,136086.9,136722.9,137374.9,138010.5,138617.8,139201.1,139796.1,140387.5,140963.6,141515.4,142047.7,142592.7,143116.3,143619.2,144089.4,144545.6,145017.0,145471.1,145883.1,146296.0,146711.2,147128.3,147547.1,147967.6,148387.7,148811.0,
Hart Moor,64382.7,64804.8,65285.3,65693.3,66033.0,66340.9,66658.1,66966.4,67260.5,67543.4,67832.2,68119.6,68399.2,68666.3,68924.2,69190.2,69443.1,69687.7,69915.0,70136.2,70365.1,70587.0,70785.8,70986.2,71187.7,71390.5,71593.2,71796.7,72002.2,72206.5,
Hawthorn Pit,72086.1,72557.5,73096.9,73553.6,73932.3,74277.5,74632.1,74977.7,75308.0,75624.0,75947.9,76269.2,76582.2,76881.2,77171.9,77468.1,77751.8,78025.1,78280.6,78527.7,78783.9,79030.7,79255.2,79479.6,79705.1,79931.7,80159.2,80387.6,80615.2,80845.1,
Jordanthorpe,31819.5,32026.9,32264.7,32466.6,32633.7,32787.2,32943.2,33095.8,33241.4,33381.1,33524.4,33665.0,33804.4,33936.1,34063.6,34194.1,34319.2,34441.0,34553.5,34662.4,34775.1,34885.2,34983.5,35082.4,35181.9,35282.0,35382.5,35483.4,35584.6,35686.3,
Keadby,163039.5,164105.9,165324.1,166358.5,167216.3,167997.6,168798.6,169579.9,170326.2,171042.5,171774.9,172501.7,173208.7,173886.2,174541.6,175210.5,175853.3,176471.9,177050.1,177609.5,178190.0,178747.8,179253.6,179760.1,180270.3,180783.5,181298.2,181813.4,182331.6,182851.8,
Kirkstall B,112244.2,112978.5,113816.6,114528.9,115120.3,115657.5,116209.6,116746.7,117260.4,117754.0,118257.9,118757.7,119245.4,119711.7,120162.5,120623.9,121064.7,121490.8,121889.1,122274.4,122674.0,123058.9,123406.7,123754.9,124106.1,124458.8,124814.3,125169.7,125526.1,125883.7,
Knaresborough,86851.5,87420.2,88069.6,88619.7,89077.4,89493.2,89919.7,90335.6,90733.7,91115.3,91505.1,91891.4,92269.4,92630.2,92978.0,93335.7,93676.8,94006.7,94315.1,94613.4,94922.5,95220.2,95488.3,95759.5,96031.3,96304.5,96577.5,96853.0,97129.3,97405.5,
Lackenby,119854.0,120637.4,121533.0,122293.7,122924.3,123497.9,124086.7,124661.5,125210.5,125735.9,126274.2,126808.7,127329.6,127826.3,128308.3,128801.0,129272.4,129727.0,130152.0,130563.2,130990.0,131401.2,131771.8,132145.2,132520.2,132896.3,133274.8,133654.7,134035.7,134416.9,
Neepsend,41745.4,42017.8,42330.2,42594.8,42814.4,43014.5,43220.3,43420.5,43610.6,43793.8,43981.9,44167.8,44348.5,44521.9,44689.5,44861.8,45026.3,45184.0,45332.8,45475.3,45623.9,45767.0,45896.3,46027.1,46157.7,46288.2,46419.9,46552.1,46684.6,46817.6,
Norton,234620.2,236154.7,237907.7,239395.8,240631.0,241754.1,242908.3,244031.6,245105.6,246136.4,247190.5,248235.3,249253.9,250228.5,251170.7,252134.3,253058.5,253948.3,254781.5,255586.0,256421.1,257223.9,257950.8,258682.4,259416.5,260153.0,260893.1,261636.1,262381.2,263130.1,
Norton Lees,33033.7,33250.1,33496.8,33705.4,33879.9,34038.5,34200.2,34358.5,34510.1,34655.8,34803.2,34950.1,35094.5,35231.9,35363.3,35499.9,35630.2,35755.0,35871.7,35985.9,36103.7,36215.8,36318.2,36422.0,36525.3,36628.4,36732.5,36837.0,36941.9,37047.0,
Offerton,31450.1,31655.7,31889.9,32089.6,32254.8,32406.4,32560.0,32711.2,32854.7,32993.4,33134.1,33275.1,33410.6,33541.9,33668.7,33796.8,33921.1,34041.0,34151.7,34260.2,34371.4,34479.8,34577.7,34674.5,34772.9,34871.7,34972.1,35071.5,35171.1,35270.9,
Osbaldwick,154851.9,155865.2,157022.6,158004.4,158819.7,159560.8,160322.1,161064.3,161772.4,162453.0,163148.2,163838.0,164510.2,165153.8,165775.5,166411.4,167021.2,167609.0,168158.5,168690.0,169240.1,169771.3,170250.8,170732.7,171217.2,171704.9,172192.8,172684.0,173175.2,173668.7,
Pitsmoor,18255.8,18376.4,18511.7,18628.1,18724.7,18811.1,18900.7,18988.4,19071.8,19153.1,19234.7,19316.5,19395.8,19471.5,19544.3,19619.3,19690.7,19760.4,19825.6,19887.2,19952.1,20014.7,20072.1,20129.0,20186.1,20242.5,20301.1,20358.4,20415.9,20474.6,
Poppleton,20394.8,20528.2,20680.2,20809.3,20917.0,21014.8,21114.9,21212.1,21305.9,21394.9,21487.1,21578.4,21666.7,21750.6,21833.5,21917.0,21996.8,22075.1,22146.8,22216.2,22289.5,22358.7,22422.8,22486.0,22549.8,22614.0,22678.6,22741.9,22807.0,22872.4,
Saltend North,35011.6,35240.0,35502.0,35724.5,35908.2,36075.9,36247.4,36415.1,36575.9,36729.8,36886.8,37043.6,37195.0,37340.5,37481.6,37624.8,37763.2,37894.9,38019.4,38139.9,38264.5,38384.6,38493.6,38601.9,38711.5,38821.7,38932.6,39042.5,39154.2,39265.2,
Saltholme,128883.9,129727.7,130690.5,131508.5,132186.8,132802.7,133436.9,134055.1,134644.8,135210.9,135789.4,136363.4,136922.9,137458.8,137976.3,138505.6,139013.1,139502.5,139960.1,140401.2,140860.5,141301.4,141700.6,142103.0,142506.3,142911.0,143316.8,143725.8,144134.4,144545.1,
