Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BRED_1,10.328,14.049,16.741,18.282,16.617,8.929,11.558,14.666,18.173,22.030,26.695,31.395,36.050,40.380,44.636,49.224,53.113,56.542,59.526,62.363,64.666,65.714,65.826,65.621,65.245,64.787,64.281,63.764,63.219,62.444
BRFO_1;CLT03,3.856,5.966,8.872,13.560,20.760,31.434,40.690,51.634,63.980,77.556,93.982,110.526,126.916,142.158,157.142,173.296,186.986,199.058,209.564,219.550,227.658,231.350,231.742,231.022,229.698,228.086,226.304,224.482,222.566,219.838
BRID_P,0.173,0.267,0.395,0.600,0.913,1.374,1.779,2.257,2.797,3.391,4.109,4.832,5.549,6.215,6.870,7.576,8.175,8.702,9.162,9.598,9.953,10.114,10.131,10.100,10.042,9.971,9.894,9.814,9.730,9.611
BRIM_1,3.506,4.987,6.477,8.246,10.052,11.549,14.949,18.969,23.505,28.493,34.528,40.606,46.627,52.227,57.732,63.666,68.696,73.131,76.991,80.660,83.638,84.995,85.139,84.874,84.387,83.795,83.141,82.471,81.768,80.765
BROA_P,0.049,0.079,0.122,0.195,0.313,0.493,0.638,0.810,1.004,1.217,1.474,1.734,1.991,2.230,2.465,2.719,2.934,3.123,3.288,3.444,3.572,3.630,3.636,3.624,3.604,3.578,3.550,3.522,3.492,3.449
BROR_P,0.034,0.053,0.083,0.133,0.213,0.336,0.435,0.552,0.683,0.828,1.004,1.181,1.356,1.518,1.678,1.851,1.997,2.126,2.238,2.345,2.432,2.471,2.475,2.467,2.453,2.436,2.417,2.398,2.377,2.348
BROX,0.566,0.834,1.151,1.604,2.213,3.005,3.889,4.936,6.116,7.414,8.984,10.565,12.132,13.589,15.021,16.565,17.874,19.028,20.032,20.987,21.761,22.114,22.152,22.083,21.957,21.802,21.632,21.458,21.275,21.014
BRWA1,2.152,3.272,4.744,7.036,10.436,15.324,19.835,25.170,31.189,37.808,45.815,53.880,61.869,69.300,76.605,84.479,91.153,97.038,102.159,107.027,110.980,112.780,112.971,112.620,111.974,111.188,110.320,109.432,108.498,107.167
BUMU_P,0.096,0.144,0.204,0.296,0.427,0.611,0.791,1.004,1.243,1.507,1.827,2.148,2.467,2.763,3.054,3.368,3.634,3.869,4.073,4.267,4.424,4.496,4.504,4.490,4.464,4.433,4.398,4.363,4.325,4.273
BURM_1,1.970,2.896,3.980,5.508,7.538,10.137,13.121,16.650,20.631,25.009,30.306,35.641,40.926,45.841,50.673,55.882,60.297,64.190,67.577,70.798,73.412,74.603,74.729,74.497,74.070,73.550,72.976,72.388,71.770,70.891
BUSH_1,0.700,1.095,1.653,2.571,4.004,6.161,7.974,10.119,12.539,15.200,18.419,21.662,24.874,27.861,30.798,33.963,36.646,39.013,41.071,43.029,44.618,45.341,45.418,45.277,45.017,44.701,44.352,43.995,43.620,43.085
BUST_1,1.176,1.858,2.844,4.490,7.097,11.065,14.323,18.176,22.522,27.301,33.083,38.907,44.676,50.042,55.316,61.003,65.822,70.072,73.769,77.285,80.139,81.439,81.577,81.323,80.857,80.289,79.662,79.021,78.347,77.386
CAAD_P,0.124,0.206,0.337,0.570,0.956,1.569,2.031,2.577,3.193,3.870,4.690,5.516,6.334,7.094,7.842,8.648,9.331,9.934,10.458,10.957,11.361,11.545,11.565,11.529,11.463,11.383,11.294,11.203,11.107,10.971
CAMB_01,0.183,0.291,0.450,0.718,1.145,1.800,2.330,2.957,3.664,4.442,5.382,6.329,7.268,8.141,8.999,9.924,10.708,11.400,12.001,12.573,13.037,13.249,13.271,13.230,13.154,13.062,12.960,12.856,12.746,12.590
CANTN1;RICH1;RICH_J,1.965,2.971,4.272,6.273,9.203,13.365,17.301,21.954,27.204,32.976,39.960,46.994,53.962,60.444,66.814,73.683,79.503,84.637,89.103,93.350,96.797,98.367,98.533,98.227,97.664,96.978,96.221,95.447,94.632,93.471
CAPEA1,0.753,1.167,1.740,2.667,4.093,6.214,8.044,10.207,12.648,15.331,18.579,21.849,25.089,28.102,31.064,34.257,36.964,39.350,41.427,43.401,45.004,45.734,45.811,45.669,45.407,45.088,44.736,44.376,43.997,43.458
CARE_1,0.879,1.370,2.057,3.180,4.923,7.533,9.751,12.374,15.333,18.586,22.522,26.487,30.415,34.068,37.659,41.530,44.811,47.704,50.221,52.615,54.557,55.442,55.536,55.363,55.046,54.660,54.233,53.796,53.337,52.683
CARR_1,1.337,2.030,2.937,4.344,6.424,9.405,12.174,15.448,19.142,23.203,28.118,33.068,37.971,42.531,47.014,51.847,55.943,59.555,62.698,65.686,68.112,69.216,69.333,69.118,68.722,68.239,67.706,67.161,66.588,65.772
