Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BRFO_1;CLT03,0.595,1.396,2.252,3.292,4.795,6.894,9.353,12.198,15.415,19.012,23.084,27.629,32.584,37.948,43.722,49.919,56.566,63.582,70.995,78.918,87.313,96.158,105.422,115.091,125.186,135.705,146.648,158.017,169.811,182.029
BRID_P,0.023,0.054,0.086,0.126,0.184,0.265,0.359,0.468,0.591,0.729,0.886,1.060,1.250,1.456,1.678,1.915,2.170,2.439,2.724,3.028,3.350,3.689,4.045,4.416,4.803,5.207,5.627,6.063,6.515,6.984
BRIM_1,0.056,0.132,0.212,0.310,0.452,0.650,0.882,1.150,1.453,1.793,2.177,2.605,3.072,3.578,4.122,4.707,5.333,5.995,6.694,7.441,8.232,9.066,9.940,10.851,11.803,12.795,13.827,14.899,16.011,17.163
BROA_P,0.005,0.012,0.020,0.029,0.043,0.061,0.083,0.108,0.137,0.169,0.205,0.245,0.289,0.337,0.388,0.443,0.502,0.565,0.630,0.701,0.775,0.854,0.936,1.022,1.112,1.205,1.302,1.403,1.508,1.616
BROR_P,0.004,0.010,0.016,0.023,0.033,0.048,0.065,0.084,0.107,0.132,0.160,0.191,0.225,0.263,0.302,0.345,0.391,0.440,0.491,0.546,0.604,0.665,0.729,0.796,0.866,0.939,1.015,1.093,1.175,1.259
BROX,0.011,0.026,0.041,0.060,0.088,0.126,0.171,0.223,0.282,0.347,0.422,0.505,0.595,0.693,0.799,0.912,1.034,1.162,1.297,1.442,1.596,1.757,1.927,2.103,2.288,2.480,2.680,2.888,3.103,3.326
BRWA1,0.255,0.599,0.967,1.413,2.059,2.960,4.016,5.237,6.618,8.163,9.911,11.862,13.990,16.293,18.772,21.432,24.286,27.299,30.481,33.883,37.487,41.285,45.262,49.414,53.748,58.264,62.963,67.844,72.907,78.153
BUMU_P,0.016,0.037,0.059,0.087,0.126,0.181,0.246,0.321,0.405,0.500,0.607,0.726,0.856,0.997,1.149,1.312,1.487,1.671,1.866,2.074,2.295,2.527,2.771,3.025,3.290,3.567,3.854,4.153,4.463,4.784
BURM_1,0.208,0.487,0.786,1.149,1.673,2.405,3.263,4.256,5.378,6.633,8.054,9.640,11.368,13.240,15.254,17.416,19.736,22.183,24.769,27.534,30.463,33.549,36.781,40.154,43.676,47.346,51.164,55.131,59.246,63.508
BUSH_1,0.091,0.213,0.344,0.503,0.732,1.053,1.429,1.863,2.355,2.904,3.526,4.220,4.977,5.797,6.679,7.625,8.641,9.712,10.845,12.055,13.337,14.688,16.103,17.580,19.122,20.729,22.401,24.137,25.939,27.805
