Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BRED_1,9.999,12.208,15.059,17.943,20.644,22.728,23.125,20.534,13.005,16.347,20.094,24.399,29.174,34.253,39.207,44.133,48.702,52.673,56.068,58.950,61.795,63.996,65.051,64.476,63.748,62.832,61.754,60.765,59.758,58.696
BRFO_1;CLT03,3.646,4.712,6.396,8.736,12.062,16.858,23.570,32.936,45.784,57.548,70.740,85.896,102.706,120.590,138.030,155.372,171.458,185.438,197.388,207.538,217.552,225.300,229.014,226.990,224.426,221.202,217.408,213.928,210.380,206.644
BRID_P,0.164,0.211,0.286,0.390,0.536,0.746,1.039,1.445,2.002,2.516,3.093,3.755,4.490,5.272,6.034,6.792,7.496,8.107,8.629,9.073,9.511,9.850,10.012,9.923,9.811,9.670,9.505,9.352,9.197,9.034
BRIM_1,3.367,4.190,5.345,6.707,8.326,10.252,12.376,14.629,16.820,21.143,25.989,31.557,37.733,44.303,50.710,57.081,62.991,68.127,72.518,76.246,79.926,82.772,84.136,83.393,82.451,81.267,79.872,78.594,77.291,75.918
BROA_P,0.046,0.061,0.084,0.118,0.169,0.243,0.350,0.503,0.718,0.903,1.110,1.348,1.611,1.892,2.165,2.438,2.690,2.909,3.097,3.256,3.413,3.535,3.593,3.561,3.521,3.470,3.411,3.356,3.301,3.242
BROR_P,0.032,0.041,0.057,0.080,0.115,0.165,0.238,0.343,0.489,0.615,0.756,0.917,1.097,1.288,1.474,1.660,1.831,1.981,2.108,2.217,2.324,2.406,2.446,2.424,2.397,2.363,2.322,2.285,2.247,2.207
BROX,0.540,0.682,0.894,1.165,1.520,1.994,2.604,3.387,4.376,5.501,6.762,8.211,9.818,11.527,13.194,14.852,16.389,17.726,18.868,19.838,20.796,21.536,21.891,21.698,21.453,21.145,20.782,20.449,20.110,19.753
BRWA1,2.041,2.617,3.508,4.714,6.387,8.747,11.974,16.385,22.319,28.054,34.485,41.873,50.068,58.786,67.287,75.742,83.583,90.399,96.224,101.171,106.054,109.830,111.640,110.654,109.404,107.833,105.983,104.286,102.557,100.736
BUMU_P,0.091,0.116,0.154,0.204,0.273,0.368,0.495,0.665,0.890,1.119,1.375,1.669,1.996,2.344,2.683,3.020,3.332,3.604,3.836,4.033,4.228,4.379,4.451,4.411,4.362,4.299,4.225,4.158,4.089,4.016
BURM_1,1.881,2.375,3.104,4.033,5.244,6.848,8.894,11.501,14.764,18.558,22.812,27.699,33.120,38.886,44.510,50.102,55.289,59.798,63.651,66.924,70.154,72.652,73.849,73.197,72.370,71.331,70.107,68.985,67.841,66.636
BUSH_1,0.661,0.858,1.173,1.619,2.260,3.196,4.520,6.388,8.973,11.279,13.864,16.834,20.129,23.634,27.052,30.451,33.603,36.343,38.685,40.674,42.637,44.156,44.883,44.487,43.984,43.352,42.609,41.927,41.231,40.499
BUST_1,1.108,1.445,1.991,2.771,3.908,5.582,7.975,11.375,16.117,20.258,24.902,30.237,36.154,42.449,48.588,54.693,60.356,65.277,69.484,73.056,76.582,79.309,80.616,79.904,79.001,77.867,76.530,75.306,74.057,72.742
CAAD_P,0.115,0.154,0.221,0.321,0.474,0.708,1.054,1.561,2.285,2.872,3.530,4.287,5.126,6.018,6.888,7.754,8.556,9.254,9.851,10.357,10.857,11.243,11.429,11.328,11.200,11.039,10.850,10.676,10.499,10.313
CAMB_01,0.172,0.225,0.312,0.437,0.620,0.892,1.283,1.841,2.622,3.296,4.051,4.919,5.882,6.906,7.905,8.898,9.819,10.620,11.304,11.885,12.459,12.902,13.115,12.999,12.852,12.668,12.450,12.251,12.048,11.834
